p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}$
0.0,"4,714",225,0.05,"4,714","415,856",225,"78,701",0.16,1.00,0.99
0.01,"2,483",150,0.06,"7,197","413,373",375,"78,551",0.16,1.00,0.98
0.02,"2,215",96,0.04,"9,412","411,158",471,"78,455",0.16,0.99,0.98
0.03,"3,317",177,0.05,"12,729","407,841",648,"78,278",0.16,0.99,0.97
0.04,"4,184",243,0.05,"16,913","403,657",891,"78,035",0.16,0.99,0.96
0.05,"5,326",299,0.05,"22,239","398,331","1,190","77,736",0.16,0.98,0.95
0.06,"4,134",220,0.05,"26,373","394,197","1,410","77,516",0.16,0.98,0.94
0.07,"5,449",327,0.06,"31,822","388,748","1,737","77,189",0.17,0.98,0.93
0.08,"5,771",353,0.06,"37,593","382,977","2,090","76,836",0.17,0.97,0.92
0.09,"5,306",300,0.05,"42,899","377,671","2,390","76,536",0.17,0.97,0.91
0.1,"5,507",419,0.07,"48,406","372,164","2,809","76,117",0.17,0.96,0.90
0.11,"5,009",364,0.07,"53,415","367,155","3,173","75,753",0.17,0.96,0.89
0.12,"4,460",291,0.06,"57,875","362,695","3,464","75,462",0.17,0.96,0.88
0.13,"4,300",311,0.07,"62,175","358,395","3,775","75,151",0.17,0.95,0.87
0.14,"3,806",292,0.07,"65,981","354,589","4,067","74,859",0.17,0.95,0.86
0.15,"3,295",287,0.08,"69,276","351,294","4,354","74,572",0.18,0.94,0.85
0.16,"2,727",232,0.08,"72,003","348,567","4,586","74,340",0.18,0.94,0.85
0.17,"2,748",224,0.08,"74,751","345,819","4,810","74,116",0.18,0.94,0.84
0.18,"2,449",184,0.07,"77,200","343,370","4,994","73,932",0.18,0.94,0.84
0.19,"2,329",178,0.07,"79,529","341,041","5,172","73,754",0.18,0.93,0.83
0.2,"2,319",248,0.10,"81,848","338,722","5,420","73,506",0.18,0.93,0.83
0.21,"2,276",212,0.09,"84,124","336,446","5,632","73,294",0.18,0.93,0.82
0.22,"2,094",206,0.09,"86,218","334,352","5,838","73,088",0.18,0.93,0.82
0.23,"2,196",226,0.09,"88,414","332,156","6,064","72,862",0.18,0.92,0.81
0.24,"2,774",279,0.09,"91,188","329,382","6,343","72,583",0.18,0.92,0.80
0.25,"2,997",294,0.09,"94,185","326,385","6,637","72,289",0.18,0.92,0.80
0.26,"2,530",296,0.10,"96,715","323,855","6,933","71,993",0.18,0.91,0.79
0.27,"2,951",343,0.10,"99,666","320,904","7,276","71,650",0.18,0.91,0.79
0.28,"3,985",466,0.10,"103,651","316,919","7,742","71,184",0.18,0.90,0.78
0.29,"3,675",404,0.10,"107,326","313,244","8,146","70,780",0.18,0.90,0.77
0.3,"4,327",486,0.10,"111,653","308,917","8,632","70,294",0.19,0.89,0.76
0.31,"4,306",537,0.11,"115,959","304,611","9,169","69,757",0.19,0.88,0.75
0.32,"5,199",621,0.11,"121,158","299,412","9,790","69,136",0.19,0.88,0.74
0.33,"4,855",622,0.11,"126,013","294,557","10,412","68,514",0.19,0.87,0.73
0.34,"6,036",740,0.11,"132,049","288,521","11,152","67,774",0.19,0.86,0.71
0.35,"6,091",731,0.11,"138,140","282,430","11,883","67,043",0.19,0.85,0.70
0.36,"5,488",729,0.12,"143,628","276,942","12,612","66,314",0.19,0.84,0.69
0.37,"7,046",930,0.12,"150,674","269,896","13,542","65,384",0.20,0.83,0.67
0.38,"7,725","1,067",0.12,"158,399","262,171","14,609","64,317",0.20,0.81,0.65
0.39,"7,068",973,0.12,"165,467","255,103","15,582","63,344",0.20,0.80,0.64
0.4,"7,630","1,110",0.13,"173,097","247,473","16,692","62,234",0.20,0.79,0.62
0.41,"8,419","1,297",0.13,"181,516","239,054","17,989","60,937",0.20,0.77,0.60
0.42,"8,490","1,233",0.13,"190,006","230,564","19,222","59,704",0.21,0.76,0.58
0.43,"7,196","1,169",0.14,"197,202","223,368","20,391","58,535",0.21,0.74,0.56
0.44,"7,693","1,109",0.13,"204,895","215,675","21,500","57,426",0.21,0.73,0.55
0.45,"7,807","1,298",0.14,"212,702","207,868","22,798","56,128",0.21,0.71,0.53
0.46,"7,351","1,344",0.15,"220,053","200,517","24,142","54,784",0.21,0.69,0.51
0.47,"8,215","1,424",0.15,"228,268","192,302","25,566","53,360",0.22,0.68,0.49
0.48,"6,764","1,174",0.15,"235,032","185,538","26,740","52,186",0.22,0.66,0.48
0.49,"7,880","1,449",0.16,"242,912","177,658","28,189","50,737",0.22,0.64,0.46
0.5,"7,125","1,270",0.15,"250,037","170,533","29,459","49,467",0.22,0.63,0.44
0.51,"7,071","1,375",0.16,"257,108","163,462","30,834","48,092",0.23,0.61,0.42
0.52,"7,800","1,506",0.16,"264,908","155,662","32,340","46,586",0.23,0.59,0.40
0.53,"7,521","1,404",0.16,"272,429","148,141","33,744","45,182",0.23,0.57,0.39
0.54,"7,349","1,414",0.16,"279,778","140,792","35,158","43,768",0.24,0.55,0.37
0.55,"6,168","1,353",0.18,"285,946","134,624","36,511","42,415",0.24,0.54,0.35
0.56,"7,339","1,534",0.17,"293,285","127,285","38,045","40,881",0.24,0.52,0.34
0.57,"6,195","1,299",0.17,"299,480","121,090","39,344","39,582",0.25,0.50,0.32
0.58,"5,602","1,348",0.19,"305,082","115,488","40,692","38,234",0.25,0.48,0.31
0.59,"5,275","1,148",0.18,"310,357","110,213","41,840","37,086",0.25,0.47,0.29
0.6,"4,408",979,0.18,"314,765","105,805","42,819","36,107",0.25,0.46,0.28
0.61,"4,635","1,154",0.20,"319,400","101,170","43,973","34,953",0.26,0.44,0.27
0.62,"4,158","1,007",0.19,"323,558","97,012","44,980","33,946",0.26,0.43,0.26
0.63,"3,509",874,0.20,"327,067","93,503","45,854","33,072",0.26,0.42,0.25
0.64,"3,440",885,0.20,"330,507","90,063","46,739","32,187",0.26,0.41,0.24
0.65,"4,632","1,315",0.22,"335,139","85,431","48,054","30,872",0.27,0.39,0.23
0.66,"4,220","1,182",0.22,"339,359","81,211","49,236","29,690",0.27,0.38,0.22
0.67,"4,377","1,271",0.23,"343,736","76,834","50,507","28,419",0.27,0.36,0.21
0.68,"4,566","1,382",0.23,"348,302","72,268","51,889","27,037",0.27,0.34,0.20
0.69,"5,357","1,517",0.22,"353,659","66,911","53,406","25,520",0.28,0.32,0.19
0.7,"5,143","1,491",0.22,"358,802","61,768","54,897","24,029",0.28,0.30,0.17
0.71,"4,874","1,520",0.24,"363,676","56,894","56,417","22,509",0.28,0.29,0.16
0.72,"4,955","1,606",0.24,"368,631","51,939","58,023","20,903",0.29,0.26,0.15
0.73,"4,249","1,444",0.25,"372,880","47,690","59,467","19,459",0.29,0.25,0.13
0.74,"4,822","1,593",0.25,"377,702","42,868","61,060","17,866",0.29,0.23,0.12
0.75,"4,051","1,410",0.26,"381,753","38,817","62,470","16,456",0.30,0.21,0.11
0.76,"3,700","1,383",0.27,"385,453","35,117","63,853","15,073",0.30,0.19,0.10
0.77,"3,466","1,275",0.27,"388,919","31,651","65,128","13,798",0.30,0.17,0.09
0.78,"3,244","1,310",0.29,"392,163","28,407","66,438","12,488",0.31,0.16,0.08
0.79,"2,533",940,0.27,"394,696","25,874","67,378","11,548",0.31,0.15,0.07
0.8,"2,487","1,001",0.29,"397,183","23,387","68,379","10,547",0.31,0.13,0.07
0.81,"2,503","1,015",0.29,"399,686","20,884","69,394","9,532",0.31,0.12,0.06
0.82,"1,967",869,0.31,"401,653","18,917","70,263","8,663",0.31,0.11,0.06
0.83,"1,896",803,0.30,"403,549","17,021","71,066","7,860",0.32,0.10,0.05
0.84,"1,826",674,0.27,"405,375","15,195","71,740","7,186",0.32,0.09,0.04
0.85,"1,345",554,0.29,"406,720","13,850","72,294","6,632",0.32,0.08,0.04
0.86,"1,363",599,0.31,"408,083","12,487","72,893","6,033",0.33,0.08,0.04
0.87,"1,354",588,0.30,"409,437","11,133","73,481","5,445",0.33,0.07,0.03
0.88,"1,117",418,0.27,"410,554","10,016","73,899","5,027",0.33,0.06,0.03
0.89,897,434,0.33,"411,451","9,119","74,333","4,593",0.33,0.06,0.03
0.9,894,413,0.32,"412,345","8,225","74,746","4,180",0.34,0.05,0.02
0.91,796,338,0.30,"413,141","7,429","75,084","3,842",0.34,0.05,0.02
0.92,579,288,0.33,"413,720","6,850","75,372","3,554",0.34,0.05,0.02
0.93,761,355,0.32,"414,481","6,089","75,727","3,199",0.34,0.04,0.02
0.94,692,333,0.32,"415,173","5,397","76,060","2,866",0.35,0.04,0.02
0.95,594,288,0.33,"415,767","4,803","76,348","2,578",0.35,0.03,0.01
0.96,467,262,0.36,"416,234","4,336","76,610","2,316",0.35,0.03,0.01
0.97,451,220,0.33,"416,685","3,885","76,830","2,096",0.35,0.03,0.01
0.98,459,241,0.34,"417,144","3,426","77,071","1,855",0.35,0.02,0.01
0.99,555,267,0.32,"417,699","2,871","77,338","1,588",0.36,0.02,0.01
1.0,"2,871","1,588",0.36,"420,570",0,"78,926",0,nan,0.00,0.00
