p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}$
0.0,1,0,0.00,1,"420,569",0,"78,926",0.16,1.00,1.00
0.01,0,0,nan,1,"420,569",0,"78,926",0.16,1.00,1.00
0.02,2,0,0.00,3,"420,567",0,"78,926",0.16,1.00,1.00
0.03,3,0,0.00,6,"420,564",0,"78,926",0.16,1.00,1.00
0.04,12,0,0.00,18,"420,552",0,"78,926",0.16,1.00,1.00
0.05,15,0,0.00,33,"420,537",0,"78,926",0.16,1.00,1.00
0.06,28,1,0.03,61,"420,509",1,"78,925",0.16,1.00,1.00
0.07,35,2,0.05,96,"420,474",3,"78,923",0.16,1.00,1.00
0.08,68,0,0.00,164,"420,406",3,"78,923",0.16,1.00,1.00
0.09,106,0,0.00,270,"420,300",3,"78,923",0.16,1.00,1.00
0.1,150,0,0.00,420,"420,150",3,"78,923",0.16,1.00,1.00
0.11,230,2,0.01,650,"419,920",5,"78,921",0.16,1.00,1.00
0.12,342,4,0.01,992,"419,578",9,"78,917",0.16,1.00,1.00
0.13,450,5,0.01,"1,442","419,128",14,"78,912",0.16,1.00,1.00
0.14,671,2,0.00,"2,113","418,457",16,"78,910",0.16,1.00,1.00
0.15,853,7,0.01,"2,966","417,604",23,"78,903",0.16,1.00,0.99
0.16,"1,095",18,0.02,"4,061","416,509",41,"78,885",0.16,1.00,0.99
0.17,"1,420",14,0.01,"5,481","415,089",55,"78,871",0.16,1.00,0.99
0.18,"1,686",23,0.01,"7,167","413,403",78,"78,848",0.16,1.00,0.99
0.19,"2,086",50,0.02,"9,253","411,317",128,"78,798",0.16,1.00,0.98
0.2,"2,605",49,0.02,"11,858","408,712",177,"78,749",0.16,1.00,0.98
0.21,"3,025",52,0.02,"14,883","405,687",229,"78,697",0.16,1.00,0.97
0.22,"3,553",75,0.02,"18,436","402,134",304,"78,622",0.16,1.00,0.96
0.23,"4,231",90,0.02,"22,667","397,903",394,"78,532",0.16,1.00,0.95
0.24,"4,824",121,0.02,"27,491","393,079",515,"78,411",0.17,0.99,0.94
0.25,"5,603",155,0.03,"33,094","387,476",670,"78,256",0.17,0.99,0.93
0.26,"6,466",167,0.03,"39,560","381,010",837,"78,089",0.17,0.99,0.92
0.27,"7,218",241,0.03,"46,778","373,792","1,078","77,848",0.17,0.99,0.90
0.28,"7,742",282,0.04,"54,520","366,050","1,360","77,566",0.17,0.98,0.89
0.29,"8,673",331,0.04,"63,193","357,377","1,691","77,235",0.18,0.98,0.87
0.3,"9,228",405,0.04,"72,421","348,149","2,096","76,830",0.18,0.97,0.85
0.31,"10,115",465,0.04,"82,536","338,034","2,561","76,365",0.18,0.97,0.83
0.32,"10,677",556,0.05,"93,213","327,357","3,117","75,809",0.19,0.96,0.81
0.33,"11,590",665,0.05,"104,803","315,767","3,782","75,144",0.19,0.95,0.78
0.34,"12,407",736,0.06,"117,210","303,360","4,518","74,408",0.20,0.94,0.76
0.35,"13,016",863,0.06,"130,226","290,344","5,381","73,545",0.20,0.93,0.73
0.36,"13,765",999,0.07,"143,991","276,579","6,380","72,546",0.21,0.92,0.70
0.37,"14,065","1,134",0.07,"158,056","262,514","7,514","71,412",0.21,0.90,0.67
0.38,"14,468","1,277",0.08,"172,524","248,046","8,791","70,135",0.22,0.89,0.64
0.39,"14,867","1,416",0.09,"187,391","233,179","10,207","68,719",0.23,0.87,0.60
0.4,"14,613","1,636",0.10,"202,004","218,566","11,843","67,083",0.23,0.85,0.57
0.41,"14,692","1,819",0.11,"216,696","203,874","13,662","65,264",0.24,0.83,0.54
0.42,"14,576","1,869",0.11,"231,272","189,298","15,531","63,395",0.25,0.80,0.51
0.43,"14,342","2,056",0.13,"245,614","174,956","17,587","61,339",0.26,0.78,0.47
