p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}$
0.0,"4,206",132,0.03,"4,206","416,364",132,"78,794",0.16,1.00,0.99
0.1,"22,005",874,0.04,"26,211","394,359","1,006","77,920",0.16,0.99,0.95
0.2,"47,026","2,756",0.06,"73,237","347,333","3,762","75,164",0.18,0.95,0.85
0.3,"72,671","6,529",0.08,"145,908","274,662","10,291","68,635",0.20,0.87,0.69
0.4,"94,305","12,498",0.12,"240,213","180,357","22,789","56,137",0.24,0.71,0.47
0.5,"85,403","16,712",0.16,"325,616","94,954","39,501","39,425",0.29,0.50,0.27
0.6,"52,180","14,945",0.22,"377,796","42,774","54,446","24,480",0.36,0.31,0.13
0.7,"23,722","10,013",0.30,"401,518","19,052","64,459","14,467",0.43,0.18,0.07
0.8,"10,497","6,443",0.38,"412,015","8,555","70,902","8,024",0.48,0.10,0.03
0.9,"5,596","4,664",0.45,"417,611","2,959","75,566","3,360",0.53,0.04,0.01
1.0,"2,959","3,360",0.53,"420,570",0,"78,926",0,nan,0.00,0.00
