p,Neg,Pos,Neg/Pos,TN,FP,FN,TP,FP/TP,Prec.,Rec.,$\hat{p}$
0.0,"2,372",0,inf,"2,372","418,198",0,"78,926",5.30,0.16,1.00,1.00
0.01,"1,970",0,inf,"4,342","416,228",0,"78,926",5.27,0.16,1.00,0.99
0.02,"1,814",0,inf,"6,156","414,414",0,"78,926",5.25,0.16,1.00,0.99
0.03,"1,796",0,inf,"7,952","412,618",0,"78,926",5.23,0.16,1.00,0.98
0.04,"2,095",1,2095.00,"10,047","410,523",1,"78,925",5.20,0.16,1.00,0.98
0.05,"1,706",0,inf,"11,753","408,817",1,"78,925",5.18,0.16,1.00,0.98
0.06,"2,363",7,337.57,"14,116","406,454",8,"78,918",5.15,0.16,1.00,0.97
0.07,"2,299",7,328.43,"16,415","404,155",15,"78,911",5.12,0.16,1.00,0.97
0.08,"2,193",4,548.25,"18,608","401,962",19,"78,907",5.09,0.16,1.00,0.96
0.09,"2,152",9,239.11,"20,760","399,810",28,"78,898",5.07,0.16,1.00,0.96
0.1,"2,557",15,170.47,"23,317","397,253",43,"78,883",5.04,0.17,1.00,0.95
0.11,"2,831",27,104.85,"26,148","394,422",70,"78,856",5.00,0.17,1.00,0.95
0.12,"3,029",32,94.66,"29,177","391,393",102,"78,824",4.97,0.17,1.00,0.94
0.13,"3,360",50,67.20,"32,537","388,033",152,"78,774",4.93,0.17,1.00,0.93
0.14,"3,306",48,68.88,"35,843","384,727",200,"78,726",4.89,0.17,1.00,0.93
0.15,"3,381",53,63.79,"39,224","381,346",253,"78,673",4.85,0.17,1.00,0.92
0.16,"4,296",95,45.22,"43,520","377,050",348,"78,578",4.80,0.17,1.00,0.91
0.17,"3,826",78,49.05,"47,346","373,224",426,"78,500",4.75,0.17,0.99,0.90
0.18,"3,220",58,55.52,"50,566","370,004",484,"78,442",4.72,0.17,0.99,0.90
0.19,"4,253",117,36.35,"54,819","365,751",601,"78,325",4.67,0.18,0.99,0.89
0.2,"5,464",171,31.95,"60,283","360,287",772,"78,154",4.61,0.18,0.99,0.88
0.21,"5,781",185,31.25,"66,064","354,506",957,"77,969",4.55,0.18,0.99,0.87
0.22,"5,520",202,27.33,"71,584","348,986","1,159","77,767",4.49,0.18,0.99,0.85
0.23,"4,576",161,28.42,"76,160","344,410","1,320","77,606",4.44,0.18,0.98,0.84
0.24,"5,187",193,26.88,"81,347","339,223","1,513","77,413",4.38,0.19,0.98,0.83
0.25,"5,791",256,22.62,"87,138","333,432","1,769","77,157",4.32,0.19,0.98,0.82
0.26,"4,834",213,22.69,"91,972","328,598","1,982","76,944",4.27,0.19,0.97,0.81
0.27,"5,293",239,22.15,"97,265","323,305","2,221","76,705",4.21,0.19,0.97,0.80
0.28,"5,699",284,20.07,"102,964","317,606","2,505","76,421",4.16,0.19,0.97,0.79
0.29,"7,042",401,17.56,"110,006","310,564","2,906","76,020",4.09,0.20,0.96,0.77
0.3,"5,729",331,17.31,"115,735","304,835","3,237","75,689",4.03,0.20,0.96,0.76
0.31,"6,555",412,15.91,"122,290","298,280","3,649","75,277",3.96,0.20,0.95,0.75
0.32,"5,580",352,15.85,"127,870","292,700","4,001","74,925",3.91,0.20,0.95,0.74
0.33,"6,672",456,14.63,"134,542","286,028","4,457","74,469",3.84,0.21,0.94,0.72
0.34,"6,289",454,13.85,"140,831","279,739","4,911","74,015",3.78,0.21,0.94,0.71
0.35,"7,141",561,12.73,"147,972","272,598","5,472","73,454",3.71,0.21,0.93,0.69
0.36,"7,124",582,12.24,"155,096","265,474","6,054","72,872",3.64,0.22,0.92,0.68
0.37,"6,641",585,11.35,"161,737","258,833","6,639","72,287",3.58,0.22,0.92,0.66
0.38,"6,156",544,11.32,"167,893","252,677","7,183","71,743",3.52,0.22,0.91,0.65
0.39,"7,573",730,10.37,"175,466","245,104","7,913","71,013",3.45,0.22,0.90,0.63
0.4,"6,932",690,10.05,"182,398","238,172","8,603","70,323",3.39,0.23,0.89,0.62
0.41,"6,193",646,9.59,"188,591","231,979","9,249","69,677",3.33,0.23,0.88,0.60
0.42,"7,809",871,8.97,"196,400","224,170","10,120","68,806",3.26,0.23,0.87,0.59
0.43,"7,241",839,8.63,"203,641","216,929","10,959","67,967",3.19,0.24,0.86,0.57
0.44,"7,761",950,8.17,"211,402","209,168","11,909","67,017",3.12,0.24,0.85,0.55
0.45,"7,361",933,7.89,"218,763","201,807","12,842","66,084",3.05,0.25,0.84,0.54
0.46,"6,924",904,7.66,"225,687","194,883","13,746","65,180",2.99,0.25,0.83,0.52
0.47,"8,782","1,251",7.02,"234,469","186,101","14,997","63,929",2.91,0.26,0.81,0.50
0.48,"9,987","1,502",6.65,"244,456","176,114","16,499","62,427",2.82,0.26,0.79,0.48
0.49,"7,619","1,187",6.42,"252,075","168,495","17,686","61,240",2.75,0.27,0.78,0.46
0.5,"7,710","1,245",6.19,"259,785","160,785","18,931","59,995",2.68,0.27,0.76,0.44
0.51,"8,229","1,397",5.89,"268,014","152,556","20,328","58,598",2.60,0.28,0.74,0.42
