p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}$
0.0,"4,342",0,0.00,"4,342","416,228",0,"78,926",0.16,1.00,0.99
0.01,"1,714",0,0.00,"6,056","414,514",0,"78,926",0.16,1.00,0.99
0.02,"1,747",0,0.00,"7,803","412,767",0,"78,926",0.16,1.00,0.98
0.03,"2,036",1,0.00,"9,839","410,731",1,"78,925",0.16,1.00,0.98
0.04,"1,737",0,0.00,"11,576","408,994",1,"78,925",0.16,1.00,0.98
0.05,"2,066",5,0.00,"13,642","406,928",6,"78,920",0.16,1.00,0.97
0.06,"2,321",7,0.00,"15,963","404,607",13,"78,913",0.16,1.00,0.97
0.07,"2,155",5,0.00,"18,118","402,452",18,"78,908",0.16,1.00,0.96
0.08,"2,167",9,0.00,"20,285","400,285",27,"78,899",0.16,1.00,0.96
0.09,"2,364",11,0.00,"22,649","397,921",38,"78,888",0.17,1.00,0.95
0.1,"2,569",22,0.01,"25,218","395,352",60,"78,866",0.17,1.00,0.95
0.11,"2,795",28,0.01,"28,013","392,557",88,"78,838",0.17,1.00,0.94
0.12,"2,936",37,0.01,"30,949","389,621",125,"78,801",0.17,1.00,0.94
0.13,"3,453",49,0.01,"34,402","386,168",174,"78,752",0.17,1.00,0.93
0.14,"3,549",59,0.02,"37,951","382,619",233,"78,693",0.17,1.00,0.92
0.15,"3,501",66,0.02,"41,452","379,118",299,"78,627",0.17,1.00,0.92
0.16,"4,171",94,0.02,"45,623","374,947",393,"78,533",0.17,1.00,0.91
0.17,"3,014",53,0.02,"48,637","371,933",446,"78,480",0.17,0.99,0.90
0.18,"4,466",116,0.03,"53,103","367,467",562,"78,364",0.18,0.99,0.89
0.19,"3,888",102,0.03,"56,991","363,579",664,"78,262",0.18,0.99,0.88
0.2,"5,192",162,0.03,"62,183","358,387",826,"78,100",0.18,0.99,0.87
0.21,"5,957",205,0.03,"68,140","352,430","1,031","77,895",0.18,0.99,0.86
0.22,"4,564",162,0.03,"72,704","347,866","1,193","77,733",0.18,0.98,0.85
0.23,"5,068",186,0.04,"77,772","342,798","1,379","77,547",0.18,0.98,0.84
0.24,"5,222",206,0.04,"82,994","337,576","1,585","77,341",0.19,0.98,0.83
0.25,"5,009",217,0.04,"88,003","332,567","1,802","77,124",0.19,0.98,0.82
0.26,"5,219",243,0.04,"93,222","327,348","2,045","76,881",0.19,0.97,0.81
0.27,"5,353",247,0.04,"98,575","321,995","2,292","76,634",0.19,0.97,0.80
0.28,"5,185",252,0.05,"103,760","316,810","2,544","76,382",0.19,0.97,0.79
0.29,"7,269",429,0.06,"111,029","309,541","2,973","75,953",0.20,0.96,0.77
0.3,"5,146",289,0.05,"116,175","304,395","3,262","75,664",0.20,0.96,0.76
0.31,"6,548",418,0.06,"122,723","297,847","3,680","75,246",0.20,0.95,0.75
0.32,"5,184",323,0.06,"127,907","292,663","4,003","74,923",0.20,0.95,0.74
0.33,"6,549",449,0.06,"134,456","286,114","4,452","74,474",0.21,0.94,0.72
0.34,"6,125",440,0.07,"140,581","279,989","4,892","74,034",0.21,0.94,0.71
0.35,"6,951",545,0.07,"147,532","273,038","5,437","73,489",0.21,0.93,0.69
0.36,"6,985",570,0.08,"154,517","266,053","6,007","72,919",0.22,0.92,0.68
0.37,"6,403",560,0.08,"160,920","259,650","6,567","72,359",0.22,0.92,0.66
0.38,"5,856",514,0.08,"166,776","253,794","7,081","71,845",0.22,0.91,0.65
0.39,"6,863",643,0.09,"173,639","246,931","7,724","71,202",0.22,0.90,0.64
0.4,"7,709",784,0.09,"181,348","239,222","8,508","70,418",0.23,0.89,0.62
0.41,"5,582",564,0.09,"186,930","233,640","9,072","69,854",0.23,0.89,0.61
0.42,"7,275",805,0.10,"194,205","226,365","9,877","69,049",0.23,0.87,0.59
0.43,"7,714",884,0.10,"201,919","218,651","10,761","68,165",0.24,0.86,0.57
0.44,"6,545",775,0.11,"208,464","212,106","11,536","67,390",0.24,0.85,0.56
0.45,"7,550",948,0.11,"216,014","204,556","12,484","66,442",0.25,0.84,0.54
0.46,"7,204",943,0.12,"223,218","197,352","13,427","65,499",0.25,0.83,0.53
0.47,"7,487","1,029",0.12,"230,705","189,865","14,456","64,470",0.25,0.82,0.51
0.48,"9,159","1,342",0.13,"239,864","180,706","15,798","63,128",0.26,0.80,0.49
0.49,"7,795","1,194",0.13,"247,659","172,911","16,992","61,934",0.26,0.78,0.47
0.5,"8,067","1,283",0.14,"255,726","164,844","18,275","60,651",0.27,0.77,0.45
0.51,"8,311","1,384",0.14,"264,037","156,533","19,659","59,267",0.27,0.75,0.43
0.52,"7,336","1,254",0.15,"271,373","149,197","20,913","58,013",0.28,0.74,0.41
0.53,"6,461","1,143",0.15,"277,834","142,736","22,056","56,870",0.28,0.72,0.40
0.54,"7,268","1,353",0.16,"285,102","135,468","23,409","55,517",0.29,0.70,0.38
0.55,"7,575","1,464",0.16,"292,677","127,893","24,873","54,053",0.30,0.68,0.36
0.56,"7,279","1,504",0.17,"299,956","120,614","26,377","52,549",0.30,0.67,0.35
0.57,"6,872","1,467",0.18,"306,828","113,742","27,844","51,082",0.31,0.65,0.33
0.58,"6,379","1,409",0.18,"313,207","107,363","29,253","49,673",0.32,0.63,0.31
0.59,"6,041","1,369",0.18,"319,248","101,322","30,622","48,304",0.32,0.61,0.30
0.6,"6,196","1,465",0.19,"325,444","95,126","32,087","46,839",0.33,0.59,0.28
0.61,"6,783","1,717",0.20,"332,227","88,343","33,804","45,122",0.34,0.57,0.27
0.62,"5,861","1,529",0.21,"338,088","82,482","35,333","43,593",0.35,0.55,0.25
0.63,"5,891","1,592",0.21,"343,979","76,591","36,925","42,001",0.35,0.53,0.24
0.64,"5,229","1,489",0.22,"349,208","71,362","38,414","40,512",0.36,0.51,0.22
0.65,"5,070","1,509",0.23,"354,278","66,292","39,923","39,003",0.37,0.49,0.21
0.66,"5,131","1,568",0.23,"359,409","61,161","41,491","37,435",0.38,0.47,0.20
0.67,"4,640","1,505",0.24,"364,049","56,521","42,996","35,930",0.39,0.46,0.19
0.68,"4,372","1,477",0.25,"368,421","52,149","44,473","34,453",0.40,0.44,0.17
0.69,"3,954","1,398",0.26,"372,375","48,195","45,871","33,055",0.41,0.42,0.16
0.7,"4,676","1,766",0.27,"377,051","43,519","47,637","31,289",0.42,0.40,0.15
0.71,"3,936","1,555",0.28,"380,987","39,583","49,192","29,734",0.43,0.38,0.14
0.72,"3,401","1,413",0.29,"384,388","36,182","50,605","28,321",0.44,0.36,0.13
0.73,"4,212","1,850",0.31,"388,600","31,970","52,455","26,471",0.45,0.34,0.12
0.74,"3,117","1,409",0.31,"391,717","28,853","53,864","25,062",0.46,0.32,0.11
0.75,"3,062","1,476",0.33,"394,779","25,791","55,340","23,586",0.48,0.30,0.10
0.76,"2,951","1,482",0.33,"397,730","22,840","56,822","22,104",0.49,0.28,0.09
0.77,"2,918","1,570",0.35,"400,648","19,922","58,392","20,534",0.51,0.26,0.08
0.78,"2,291","1,291",0.36,"402,939","17,631","59,683","19,243",0.52,0.24,0.07
0.79,"2,170","1,320",0.38,"405,109","15,461","61,003","17,923",0.54,0.23,0.07
0.8,"1,845","1,189",0.39,"406,954","13,616","62,192","16,734",0.55,0.21,0.06
0.81,"1,857","1,269",0.41,"408,811","11,759","63,461","15,465",0.57,0.20,0.05
0.82,"1,519","1,099",0.42,"410,330","10,240","64,560","14,366",0.58,0.18,0.05
