p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}$
0.0,"4,879",0,0.00,"4,879","415,691",0,"78,926",0.16,1.00,0.99
0.01,"2,268",0,0.00,"7,147","413,423",0,"78,926",0.16,1.00,0.99
0.02,"2,813",0,0.00,"9,960","410,610",0,"78,926",0.16,1.00,0.98
0.03,"3,245",0,0.00,"13,205","407,365",0,"78,926",0.16,1.00,0.97
0.04,"3,863",0,0.00,"17,068","403,502",0,"78,926",0.16,1.00,0.97
0.05,"4,318",0,0.00,"21,386","399,184",0,"78,926",0.17,1.00,0.96
0.06,"4,849",0,0.00,"26,235","394,335",0,"78,926",0.17,1.00,0.95
0.07,"5,166",0,0.00,"31,401","389,169",0,"78,926",0.17,1.00,0.94
0.08,"5,766",0,0.00,"37,167","383,403",0,"78,926",0.17,1.00,0.93
0.09,"5,989",0,0.00,"43,156","377,414",0,"78,926",0.17,1.00,0.91
0.1,"6,459",0,0.00,"49,615","370,955",0,"78,926",0.18,1.00,0.90
0.11,"6,786",0,0.00,"56,401","364,169",0,"78,926",0.18,1.00,0.89
0.12,"7,077",0,0.00,"63,478","357,092",0,"78,926",0.18,1.00,0.87
0.13,"7,516",0,0.00,"70,994","349,576",0,"78,926",0.18,1.00,0.86
0.14,"7,906",0,0.00,"78,900","341,670",0,"78,926",0.19,1.00,0.84
0.15,327,0,0.00,"79,227","341,343",0,"78,926",0.19,1.00,0.84
0.16,"7,991",0,0.00,"87,218","333,352",0,"78,926",0.19,1.00,0.83
0.17,"8,381",0,0.00,"95,599","324,971",0,"78,926",0.20,1.00,0.81
0.18,"8,487",0,0.00,"104,086","316,484",0,"78,926",0.20,1.00,0.79
0.19,"8,700",0,0.00,"112,786","307,784",0,"78,926",0.20,1.00,0.77
0.2,"8,828",0,0.00,"121,614","298,956",0,"78,926",0.21,1.00,0.76
0.21,"9,060",0,0.00,"130,674","289,896",0,"78,926",0.21,1.00,0.74
0.22,"9,196",0,0.00,"139,870","280,700",0,"78,926",0.22,1.00,0.72
0.23,"9,188",0,0.00,"149,058","271,512",0,"78,926",0.23,1.00,0.70
0.24,"9,423",0,0.00,"158,481","262,089",0,"78,926",0.23,1.00,0.68
0.25,"9,400",0,0.00,"167,881","252,689",0,"78,926",0.24,1.00,0.66
0.26,"9,457",0,0.00,"177,338","243,232",0,"78,926",0.24,1.00,0.64
0.27,"9,255",0,0.00,"186,593","233,977",0,"78,926",0.25,1.00,0.63
