p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}$
0.0,"5,488",0,0.00,"5,488","415,082",0,"78,926",0.16,1.00,0.99
0.1,"38,478",0,0.00,"43,966","376,604",0,"78,926",0.17,1.00,0.91
0.2,"77,748",0,0.00,"121,714","298,856",0,"78,926",0.21,1.00,0.76
0.3,"83,965",0,0.00,"205,679","214,891",0,"78,926",0.27,1.00,0.59
0.4,"87,025",0,0.00,"292,704","127,866",0,"78,926",0.38,1.00,0.41
0.5,"60,056",1,0.00,"352,760","67,810",1,"78,925",0.54,1.00,0.29
0.6,"40,389",130,0.00,"393,149","27,421",131,"78,795",0.74,1.00,0.21
0.7,"17,880","2,596",0.13,"411,029","9,541","2,727","76,199",0.89,0.97,0.17
0.8,"7,730","16,467",0.68,"418,759","1,811","19,194","59,732",0.97,0.76,0.12
0.9,"1,719","31,240",0.95,"420,478",92,"50,434","28,492",1.00,0.36,0.06
1.0,92,"28,492",1.00,"420,570",0,"78,926",0,nan,0.00,0.00
