p,Neg,Pos,Neg/Pos,TN,FP,FN,TP,FP/TP,Prec.,Rec.,$\hat{p}$
0.0,342,0,inf,342,"420,228",0,"78,926",5.32,0.16,1.00,1.00
0.01,598,0,inf,940,"419,630",0,"78,926",5.32,0.16,1.00,1.00
0.02,864,0,inf,"1,804","418,766",0,"78,926",5.31,0.16,1.00,1.00
0.03,"1,398",0,inf,"3,202","417,368",0,"78,926",5.29,0.16,1.00,0.99
0.04,"1,893",0,inf,"5,095","415,475",0,"78,926",5.26,0.16,1.00,0.99
0.05,"2,565",0,inf,"7,660","412,910",0,"78,926",5.23,0.16,1.00,0.98
0.06,"3,236",0,inf,"10,896","409,674",0,"78,926",5.19,0.16,1.00,0.98
0.07,"3,857",0,inf,"14,753","405,817",0,"78,926",5.14,0.16,1.00,0.97
0.08,"4,597",0,inf,"19,350","401,220",0,"78,926",5.08,0.16,1.00,0.96
0.09,"5,159",0,inf,"24,509","396,061",0,"78,926",5.02,0.17,1.00,0.95
0.1,"5,761",0,inf,"30,270","390,300",0,"78,926",4.95,0.17,1.00,0.94
0.11,"6,399",0,inf,"36,669","383,901",0,"78,926",4.86,0.17,1.00,0.93
0.12,"6,816",0,inf,"43,485","377,085",0,"78,926",4.78,0.17,1.00,0.91
0.13,"7,214",0,inf,"50,699","369,871",0,"78,926",4.69,0.18,1.00,0.90
0.14,"7,667",0,inf,"58,366","362,204",0,"78,926",4.59,0.18,1.00,0.88
0.15,"8,094",0,inf,"66,460","354,110",0,"78,926",4.49,0.18,1.00,0.87
0.16,"8,213",0,inf,"74,673","345,897",0,"78,926",4.38,0.19,1.00,0.85
0.17,"8,665",0,inf,"83,338","337,232",0,"78,926",4.27,0.19,1.00,0.83
0.18,"9,045",0,inf,"92,383","328,187",0,"78,926",4.16,0.19,1.00,0.82
0.19,"9,047",0,inf,"101,430","319,140",0,"78,926",4.04,0.20,1.00,0.80
0.2,"9,250",0,inf,"110,680","309,890",0,"78,926",3.93,0.20,1.00,0.78
0.21,"9,281",0,inf,"119,961","300,609",0,"78,926",3.81,0.21,1.00,0.76
0.22,"9,520",0,inf,"129,481","291,089",0,"78,926",3.69,0.21,1.00,0.74
0.23,"9,565",0,inf,"139,046","281,524",0,"78,926",3.57,0.22,1.00,0.72
0.24,"9,770",0,inf,"148,816","271,754",0,"78,926",3.44,0.23,1.00,0.70
0.25,"9,775",0,inf,"158,591","261,979",0,"78,926",3.32,0.23,1.00,0.68
0.26,"9,992",0,inf,"168,583","251,987",0,"78,926",3.19,0.24,1.00,0.66
0.27,"9,741",0,inf,"178,324","242,246",0,"78,926",3.07,0.25,1.00,0.64
0.28,"9,855",0,inf,"188,179","232,391",0,"78,926",2.94,0.25,1.00,0.62
0.29,"9,716",0,inf,"197,895","222,675",0,"78,926",2.82,0.26,1.00,0.60
0.3,"9,409",0,inf,"207,304","213,266",0,"78,926",2.70,0.27,1.00,0.58
0.31,"9,471",0,inf,"216,775","203,795",0,"78,926",2.58,0.28,1.00,0.57
0.32,"9,367",0,inf,"226,142","194,428",0,"78,926",2.46,0.29,1.00,0.55
0.33,"9,293",0,inf,"235,435","185,135",0,"78,926",2.35,0.30,1.00,0.53
0.34,"9,053",0,inf,"244,488","176,082",0,"78,926",2.23,0.31,1.00,0.51
0.35,"8,873",0,inf,"253,361","167,209",0,"78,926",2.12,0.32,1.00,0.49
0.36,"8,611",0,inf,"261,972","158,598",0,"78,926",2.01,0.33,1.00,0.48
0.37,"8,214",0,inf,"270,186","150,384",0,"78,926",1.91,0.34,1.00,0.46
0.38,"8,247",0,inf,"278,433","142,137",0,"78,926",1.80,0.36,1.00,0.44
0.39,"7,899",0,inf,"286,332","134,238",0,"78,926",1.70,0.37,1.00,0.43
0.4,"7,577",0,inf,"293,909","126,661",0,"78,926",1.60,0.38,1.00,0.41
0.41,"7,531",0,inf,"301,440","119,130",0,"78,926",1.51,0.40,1.00,0.40
