p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}$
0.0,"5,049",0,0.00,"5,049","415,521",0,"78,926",0.16,1.00,0.99
0.05,"18,210",0,0.00,"23,259","397,311",0,"78,926",0.17,1.00,0.95
0.1,"24,876",0,0.00,"48,135","372,435",0,"78,926",0.17,1.00,0.90
0.15,"39,549",0,0.00,"87,684","332,886",0,"78,926",0.19,1.00,0.82
0.2,"46,075",0,0.00,"133,759","286,811",0,"78,926",0.22,1.00,0.73
0.25,"48,646",0,0.00,"182,405","238,165",0,"78,926",0.25,1.00,0.63
0.3,"47,685",0,0.00,"230,090","190,480",0,"78,926",0.29,1.00,0.54
0.35,"36,077",0,0.00,"266,167","154,403",0,"78,926",0.34,1.00,0.47
0.4,"39,208",0,0.00,"305,375","115,195",0,"78,926",0.41,1.00,0.39
0.45,"32,907",1,0.00,"338,282","82,288",1,"78,925",0.49,1.00,0.32
0.5,"26,138",0,0.00,"364,420","56,150",1,"78,925",0.58,1.00,0.27
0.55,"19,608",21,0.00,"384,028","36,542",22,"78,904",0.68,1.00,0.23
0.6,"11,653",111,0.01,"395,681","24,889",133,"78,793",0.76,1.00,0.21
0.65,"10,292",907,0.08,"405,973","14,597","1,040","77,886",0.84,0.99,0.19
0.7,"6,652","2,958",0.31,"412,625","7,945","3,998","74,928",0.90,0.95,0.17
0.75,"4,132","7,179",0.63,"416,757","3,813","11,177","67,749",0.95,0.86,0.14
0.8,"2,297","12,858",0.85,"419,054","1,516","24,035","54,891",0.97,0.70,0.11
0.85,"1,020","13,621",0.93,"420,074",496,"37,656","41,270",0.99,0.52,0.08
0.9,401,"17,470",0.98,"420,475",95,"55,126","23,800",1.00,0.30,0.05
0.95,78,"15,320",0.99,"420,553",17,"70,446","8,480",1.00,0.11,0.02
1.0,17,"8,480",1.00,"420,570",0,"78,926",0,nan,0.00,0.00
