p,Neg,Pos,Neg/Pos,TN,FP,FN,TP,FP/TP,Prec.,Rec.,$\hat{p}$
0.0,264,0,inf,264,"420,306",0,"78,926",5.33,0.16,1.00,1.00
0.01,634,0,inf,898,"419,672",0,"78,926",5.32,0.16,1.00,1.00
0.02,984,0,inf,"1,882","418,688",0,"78,926",5.30,0.16,1.00,1.00
0.03,"1,377",0,inf,"3,259","417,311",0,"78,926",5.29,0.16,1.00,0.99
0.04,"1,790",0,inf,"5,049","415,521",0,"78,926",5.26,0.16,1.00,0.99
0.05,"2,400",0,inf,"7,449","413,121",0,"78,926",5.23,0.16,1.00,0.99
0.06,"3,062",0,inf,"10,511","410,059",0,"78,926",5.20,0.16,1.00,0.98
0.07,"3,651",0,inf,"14,162","406,408",0,"78,926",5.15,0.16,1.00,0.97
0.08,"4,346",0,inf,"18,508","402,062",0,"78,926",5.09,0.16,1.00,0.96
0.09,"4,751",0,inf,"23,259","397,311",0,"78,926",5.03,0.17,1.00,0.95
0.1,"5,386",0,inf,"28,645","391,925",0,"78,926",4.97,0.17,1.00,0.94
0.11,"5,939",0,inf,"34,584","385,986",0,"78,926",4.89,0.17,1.00,0.93
0.12,"6,584",0,inf,"41,168","379,402",0,"78,926",4.81,0.17,1.00,0.92
0.13,"6,882",0,inf,"48,050","372,520",0,"78,926",4.72,0.17,1.00,0.90
0.14,"7,198",0,inf,"55,248","365,322",0,"78,926",4.63,0.18,1.00,0.89
0.15,"7,603",0,inf,"62,851","357,719",0,"78,926",4.53,0.18,1.00,0.87
0.16,"7,938",0,inf,"70,789","349,781",0,"78,926",4.43,0.18,1.00,0.86
0.17,"8,214",0,inf,"79,003","341,567",0,"78,926",4.33,0.19,1.00,0.84
0.18,"8,649",0,inf,"87,652","332,918",0,"78,926",4.22,0.19,1.00,0.82
0.19,"8,918",0,inf,"96,570","324,000",0,"78,926",4.11,0.20,1.00,0.81
0.2,"9,039",0,inf,"105,609","314,961",0,"78,926",3.99,0.20,1.00,0.79
0.21,"9,356",0,inf,"114,965","305,605",0,"78,926",3.87,0.21,1.00,0.77
0.22,"9,363",0,inf,"124,328","296,242",0,"78,926",3.75,0.21,1.00,0.75
0.23,"9,424",0,inf,"133,752","286,818",0,"78,926",3.63,0.22,1.00,0.73
0.24,"9,454",0,inf,"143,206","277,364",0,"78,926",3.51,0.22,1.00,0.71
0.25,"9,635",0,inf,"152,841","267,729",0,"78,926",3.39,0.23,1.00,0.69
0.26,"9,944",0,inf,"162,785","257,785",0,"78,926",3.27,0.23,1.00,0.67
0.27,"9,862",0,inf,"172,647","247,923",0,"78,926",3.14,0.24,1.00,0.65
0.28,"9,755",0,inf,"182,402","238,168",0,"78,926",3.02,0.25,1.00,0.63
0.29,"9,608",0,inf,"192,010","228,560",0,"78,926",2.90,0.26,1.00,0.62
0.3,"9,794",0,inf,"201,804","218,766",0,"78,926",2.77,0.27,1.00,0.60
0.31,"9,518",0,inf,"211,322","209,248",0,"78,926",2.65,0.27,1.00,0.58
0.32,"9,462",0,inf,"220,784","199,786",0,"78,926",2.53,0.28,1.00,0.56
0.33,"9,306",0,inf,"230,090","190,480",0,"78,926",2.41,0.29,1.00,0.54
0.34,"9,130",0,inf,"239,220","181,350",0,"78,926",2.30,0.30,1.00,0.52
