p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}$
0.0,414,0,0.00,414,"420,156",0,"78,926",0.16,1.00,1.00
0.05,"7,386",0,0.00,"7,800","412,770",0,"78,926",0.16,1.00,0.98
0.1,"20,739",0,0.00,"28,539","392,031",0,"78,926",0.17,1.00,0.94
0.15,"33,440",0,0.00,"61,979","358,591",0,"78,926",0.18,1.00,0.88
0.2,"42,344",0,0.00,"104,323","316,247",0,"78,926",0.20,1.00,0.79
0.25,"47,419",0,0.00,"151,742","268,828",0,"78,926",0.23,1.00,0.70
0.3,"48,852",0,0.00,"200,594","219,976",0,"78,926",0.26,1.00,0.60
0.35,"46,811",0,0.00,"247,405","173,165",0,"78,926",0.31,1.00,0.50
0.4,"42,030",0,0.00,"289,435","131,135",0,"78,926",0.38,1.00,0.42
0.45,"35,722",0,0.00,"325,157","95,413",0,"78,926",0.45,1.00,0.35
0.5,"29,347",0,0.00,"354,504","66,066",0,"78,926",0.54,1.00,0.29
0.55,"22,351",5,0.00,"376,855","43,715",5,"78,921",0.64,1.00,0.25
0.6,"16,096",71,0.00,"392,951","27,619",76,"78,850",0.74,1.00,0.21
0.65,"11,096",534,0.05,"404,047","16,523",610,"78,316",0.83,0.99,0.19
0.7,"7,413","2,389",0.24,"411,460","9,110","2,999","75,927",0.89,0.96,0.17
0.75,"4,500","6,386",0.59,"415,960","4,610","9,385","69,541",0.94,0.88,0.15
0.8,"2,729","11,768",0.81,"418,689","1,881","21,153","57,773",0.97,0.73,0.12
0.85,"1,321","16,578",0.93,"420,010",560,"37,731","41,195",0.99,0.52,0.08
0.9,447,"17,380",0.97,"420,457",113,"55,111","23,815",1.00,0.30,0.05
0.95,94,"15,355",0.99,"420,551",19,"70,466","8,460",1.00,0.11,0.02
1.0,19,"8,460",1.00,"420,570",0,"78,926",0,nan,0.00,0.00
