p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}$
0.0,"10,923",0,0.00,"10,923","409,647",0,"78,926",0.16,1.00,0.98
0.1,"37,660",0,0.00,"48,583","371,987",0,"78,926",0.18,1.00,0.90
0.2,"73,635",3,0.00,"122,218","298,352",3,"78,923",0.21,1.00,0.76
0.3,"84,662",17,0.00,"206,880","213,690",20,"78,906",0.27,1.00,0.59
0.4,"77,924",73,0.00,"284,804","135,766",93,"78,833",0.37,1.00,0.43
0.5,"58,063",315,0.01,"342,867","77,703",408,"78,518",0.50,0.99,0.31
0.6,"35,766","1,300",0.04,"378,633","41,937","1,708","77,218",0.65,0.98,0.24
0.7,"23,040","5,811",0.20,"401,673","18,897","7,519","71,407",0.79,0.90,0.18
0.8,"13,414","17,532",0.57,"415,087","5,483","25,051","53,875",0.91,0.68,0.12
0.9,"4,759","27,482",0.85,"419,846",724,"52,533","26,393",0.97,0.33,0.05
1.0,724,"26,393",0.97,"420,570",0,"78,926",0,nan,0.00,0.00
