p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}$
0.0,"4,467",0,0.00,"4,467","416,103",0,"78,926",0.16,1.00,0.99
0.01,574,0,0.00,"5,041","415,529",0,"78,926",0.16,1.00,0.99
0.02,"1,793",0,0.00,"6,834","413,736",0,"78,926",0.16,1.00,0.99
0.03,"2,072",0,0.00,"8,906","411,664",0,"78,926",0.16,1.00,0.98
0.04,"2,615",0,0.00,"11,521","409,049",0,"78,926",0.16,1.00,0.98
0.05,"2,735",0,0.00,"14,256","406,314",0,"78,926",0.16,1.00,0.97
0.06,"3,316",0,0.00,"17,572","402,998",0,"78,926",0.16,1.00,0.96
0.07,"3,833",0,0.00,"21,405","399,165",0,"78,926",0.17,1.00,0.96
0.08,"4,224",0,0.00,"25,629","394,941",0,"78,926",0.17,1.00,0.95
0.09,"4,750",0,0.00,"30,379","390,191",0,"78,926",0.17,1.00,0.94
0.1,"5,093",0,0.00,"35,472","385,098",0,"78,926",0.17,1.00,0.93
0.11,"5,650",0,0.00,"41,122","379,448",0,"78,926",0.17,1.00,0.92
0.12,"6,205",0,0.00,"47,327","373,243",0,"78,926",0.17,1.00,0.91
0.13,"6,438",0,0.00,"53,765","366,805",0,"78,926",0.18,1.00,0.89
0.14,"6,809",0,0.00,"60,574","359,996",0,"78,926",0.18,1.00,0.88
0.15,"7,256",0,0.00,"67,830","352,740",0,"78,926",0.18,1.00,0.86
0.16,"7,632",0,0.00,"75,462","345,108",0,"78,926",0.19,1.00,0.85
0.17,"4,822",0,0.00,"80,284","340,286",0,"78,926",0.19,1.00,0.84
0.18,"7,990",0,0.00,"88,274","332,296",0,"78,926",0.19,1.00,0.82
0.19,"7,933",0,0.00,"96,207","324,363",0,"78,926",0.20,1.00,0.81
0.2,"7,393",0,0.00,"103,600","316,970",0,"78,926",0.20,1.00,0.79
0.21,"8,451",0,0.00,"112,051","308,519",0,"78,926",0.20,1.00,0.78
0.22,"8,208",0,0.00,"120,259","300,311",0,"78,926",0.21,1.00,0.76
0.23,"8,806",0,0.00,"129,065","291,505",0,"78,926",0.21,1.00,0.74
0.24,"8,964",0,0.00,"138,029","282,541",0,"78,926",0.22,1.00,0.72
0.25,"9,045",0,0.00,"147,074","273,496",0,"78,926",0.22,1.00,0.71
0.26,"9,065",0,0.00,"156,139","264,431",0,"78,926",0.23,1.00,0.69
0.27,"9,350",0,0.00,"165,489","255,081",0,"78,926",0.24,1.00,0.67
0.28,"9,519",0,0.00,"175,008","245,562",0,"78,926",0.24,1.00,0.65
0.29,"9,411",0,0.00,"184,419","236,151",0,"78,926",0.25,1.00,0.63
0.3,"9,511",0,0.00,"193,930","226,640",0,"78,926",0.26,1.00,0.61
