p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}$
0.0,"4,536",55,0.01,"4,536","416,034",55,"78,871",0.16,1.00,0.99
0.1,"18,601",462,0.02,"23,137","397,433",517,"78,409",0.16,0.99,0.95
0.2,"33,491","1,298",0.04,"56,628","363,942","1,815","77,111",0.17,0.98,0.88
0.3,"74,482","5,017",0.06,"131,110","289,460","6,832","72,094",0.20,0.91,0.72
0.4,"92,448","10,304",0.10,"223,558","197,012","17,136","61,790",0.24,0.78,0.52
0.5,"99,645","17,568",0.15,"323,203","97,367","34,704","44,222",0.31,0.56,0.28
0.6,"57,274","17,987",0.24,"380,477","40,093","52,691","26,235",0.40,0.33,0.13
0.7,"21,237","11,163",0.34,"401,714","18,856","63,854","15,072",0.44,0.19,0.07
0.8,"12,568","8,485",0.40,"414,282","6,288","72,339","6,587",0.51,0.08,0.03
0.9,"4,658","4,526",0.49,"418,940","1,630","76,865","2,061",0.56,0.03,0.01
1.0,"1,630","2,061",0.56,"420,570",0,"78,926",0,nan,0.00,0.00
