p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}$
0.0,"2,972",111,0.04,"2,972","417,598",111,"78,815",0.16,1.00,0.99
0.1,"23,752","1,085",0.04,"26,724","393,846","1,196","77,730",0.16,0.98,0.94
0.2,"62,577","4,391",0.07,"89,301","331,269","5,587","73,339",0.18,0.93,0.81
0.3,"103,421","11,529",0.10,"192,722","227,848","17,116","61,810",0.21,0.78,0.58
0.4,"103,156","17,697",0.15,"295,878","124,692","34,813","44,113",0.26,0.56,0.34
0.5,"83,215","21,211",0.20,"379,093","41,477","56,024","22,902",0.36,0.29,0.13
0.6,"24,608","10,224",0.29,"403,701","16,869","66,248","12,678",0.43,0.16,0.06
0.7,"11,082","7,420",0.40,"414,783","5,787","73,668","5,258",0.48,0.07,0.02
0.8,"4,709","4,108",0.47,"419,492","1,078","77,776","1,150",0.52,0.01,0.00
0.9,"1,070","1,138",0.52,"420,562",8,"78,914",12,0.60,0.00,0.00
1.0,8,12,0.60,"420,570",0,"78,926",0,nan,0.00,0.00
