p,Neg,Pos,Neg/Pos,TN,FP,FN,TP,FP/TP,Prec.,Rec.,$\hat{p}$
0.0,0,0,nan,0,"420,570",0,"78,926",5.33,0.16,1.00,1.00
0.05,"63,753",880,72.45,"63,753","356,817",880,"78,046",4.57,0.18,0.99,0.87
0.1,"73,379","2,803",26.18,"137,132","283,438","3,683","75,243",3.77,0.21,0.95,0.72
0.15,"59,626","4,047",14.73,"196,758","223,812","7,730","71,196",3.14,0.24,0.90,0.59
0.2,"47,329","4,878",9.70,"244,087","176,483","12,608","66,318",2.66,0.27,0.84,0.49
0.25,"37,995","5,429",7.00,"282,082","138,488","18,037","60,889",2.27,0.31,0.77,0.40
0.3,"30,556","5,551",5.50,"312,638","107,932","23,588","55,338",1.95,0.34,0.70,0.33
0.35,"24,577","5,655",4.35,"337,215","83,355","29,243","49,683",1.68,0.37,0.63,0.27
0.4,"19,636","5,871",3.34,"356,851","63,719","35,114","43,812",1.45,0.41,0.56,0.22
0.45,"16,054","5,822",2.76,"372,905","47,665","40,936","37,990",1.25,0.44,0.48,0.17
0.5,"12,446","5,459",2.28,"385,351","35,219","46,395","32,531",1.08,0.48,0.41,0.14
0.55,"9,924","5,068",1.96,"395,275","25,295","51,463","27,463",0.92,0.52,0.35,0.11
0.6,"7,481","4,714",1.59,"402,756","17,814","56,177","22,749",0.78,0.56,0.29,0.08
0.65,"5,747","4,439",1.29,"408,503","12,067","60,616","18,310",0.66,0.60,0.23,0.06
0.7,"4,137","3,912",1.06,"412,640","7,930","64,528","14,398",0.55,0.64,0.18,0.04
0.75,"2,912","3,505",0.83,"415,552","5,018","68,033","10,893",0.46,0.68,0.14,0.03
0.8,"2,002","2,964",0.68,"417,554","3,016","70,997","7,929",0.38,0.72,0.10,0.02
0.85,"1,427","2,755",0.52,"418,981","1,589","73,752","5,174",0.31,0.77,0.07,0.01
0.9,"1,041","2,907",0.36,"420,022",548,"76,659","2,267",0.24,0.81,0.03,0.01
0.95,519,"2,002",0.26,"420,541",29,"78,661",265,0.11,0.90,0.00,0.00
1.0,29,265,0.11,"420,570",0,"78,926",0,nan,nan,0.00,0.00
