p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}$
0.0,0,0,nan,0,"420,570",0,"78,926",0.16,1.00,1.00
0.01,"14,537",104,0.01,"14,537","406,033",104,"78,822",0.16,1.00,0.97
0.02,"28,128",420,0.01,"42,665","377,905",524,"78,402",0.17,0.99,0.91
0.03,"29,366",738,0.02,"72,031","348,539","1,262","77,664",0.18,0.98,0.85
0.04,"27,570",983,0.03,"99,601","320,969","2,245","76,681",0.19,0.97,0.80
0.05,"26,120","1,167",0.04,"125,721","294,849","3,412","75,514",0.20,0.96,0.74
0.06,"24,306","1,324",0.05,"150,027","270,543","4,736","74,190",0.22,0.94,0.69
0.07,"22,069","1,523",0.06,"172,096","248,474","6,259","72,667",0.23,0.92,0.64
0.08,"19,992","1,538",0.07,"192,088","228,482","7,797","71,129",0.24,0.90,0.60
0.09,"18,614","1,710",0.08,"210,702","209,868","9,507","69,419",0.25,0.88,0.56
0.1,"17,116","1,784",0.09,"227,818","192,752","11,291","67,635",0.26,0.86,0.52
0.11,"15,644","1,755",0.10,"243,462","177,108","13,046","65,880",0.27,0.83,0.49
0.12,"14,178","1,790",0.11,"257,640","162,930","14,836","64,090",0.28,0.81,0.45
0.13,"13,207","1,790",0.12,"270,847","149,723","16,626","62,300",0.29,0.79,0.42
0.14,"11,778","1,838",0.13,"282,625","137,945","18,464","60,462",0.30,0.77,0.40
0.15,"10,638","1,749",0.14,"293,263","127,307","20,213","58,713",0.32,0.74,0.37
0.16,"9,880","1,825",0.16,"303,143","117,427","22,038","56,888",0.33,0.72,0.35
0.17,"9,013","1,828",0.17,"312,156","108,414","23,866","55,060",0.34,0.70,0.33
0.18,"8,242","1,726",0.17,"320,398","100,172","25,592","53,334",0.35,0.68,0.31
0.19,"7,566","1,826",0.19,"327,964","92,606","27,418","51,508",0.36,0.65,0.29
0.2,"7,018","1,739",0.20,"334,982","85,588","29,157","49,769",0.37,0.63,0.27
0.21,"6,516","1,650",0.20,"341,498","79,072","30,807","48,119",0.38,0.61,0.25
0.22,"5,994","1,564",0.21,"347,492","73,078","32,371","46,555",0.39,0.59,0.24
0.23,"5,362","1,580",0.23,"352,854","67,716","33,951","44,975",0.40,0.57,0.23
0.24,"4,962","1,495",0.23,"357,816","62,754","35,446","43,480",0.41,0.55,0.21
0.25,"4,476","1,493",0.25,"362,292","58,278","36,939","41,987",0.42,0.53,0.20
0.26,"4,190","1,494",0.26,"366,482","54,088","38,433","40,493",0.43,0.51,0.19
0.27,"3,970","1,408",0.26,"370,452","50,118","39,841","39,085",0.44,0.50,0.18
0.28,"3,590","1,325",0.27,"374,042","46,528","41,166","37,760",0.45,0.48,0.17
0.29,"3,325","1,384",0.29,"377,367","43,203","42,550","36,376",0.46,0.46,0.16
0.3,"3,070","1,245",0.29,"380,437","40,133","43,795","35,131",0.47,0.45,0.15
0.31,"2,807","1,214",0.30,"383,244","37,326","45,009","33,917",0.48,0.43,0.14
0.32,"2,678","1,204",0.31,"385,922","34,648","46,213","32,713",0.49,0.41,0.13
0.33,"2,372","1,169",0.33,"388,294","32,276","47,382","31,544",0.49,0.40,0.13
0.34,"2,191","1,123",0.34,"390,485","30,085","48,505","30,421",0.50,0.39,0.12
0.35,"2,093","1,090",0.34,"392,578","27,992","49,595","29,331",0.51,0.37,0.11
0.36,"1,895","1,020",0.35,"394,473","26,097","50,615","28,311",0.52,0.36,0.11
0.37,"1,838",984,0.35,"396,311","24,259","51,599","27,327",0.53,0.35,0.10
0.38,"1,685",922,0.35,"397,996","22,574","52,521","26,405",0.54,0.33,0.10
0.39,"1,489",979,0.40,"399,485","21,085","53,500","25,426",0.55,0.32,0.09
0.4,"1,406",853,0.38,"400,891","19,679","54,353","24,573",0.56,0.31,0.09
0.41,"1,257",855,0.40,"402,148","18,422","55,208","23,718",0.56,0.30,0.08
0.42,"1,159",823,0.42,"403,307","17,263","56,031","22,895",0.57,0.29,0.08
0.43,"1,127",771,0.41,"404,434","16,136","56,802","22,124",0.58,0.28,0.08
0.44,"1,050",761,0.42,"405,484","15,086","57,563","21,363",0.59,0.27,0.07
0.45,961,711,0.43,"406,445","14,125","58,274","20,652",0.59,0.26,0.07
0.46,885,742,0.46,"407,330","13,240","59,016","19,910",0.60,0.25,0.07
0.47,807,716,0.47,"408,137","12,433","59,732","19,194",0.61,0.24,0.06
0.48,802,664,0.45,"408,939","11,631","60,396","18,530",0.61,0.23,0.06
0.49,717,696,0.49,"409,656","10,914","61,092","17,834",0.62,0.23,0.06
0.5,726,646,0.47,"410,382","10,188","61,738","17,188",0.63,0.22,0.05
0.51,656,636,0.49,"411,038","9,532","62,374","16,552",0.63,0.21,0.05
0.52,608,624,0.51,"411,646","8,924","62,998","15,928",0.64,0.20,0.05
0.53,588,584,0.50,"412,234","8,336","63,582","15,344",0.65,0.19,0.05
0.54,523,620,0.54,"412,757","7,813","64,202","14,724",0.65,0.19,0.05
0.55,533,555,0.51,"413,290","7,280","64,757","14,169",0.66,0.18,0.04
0.56,521,508,0.49,"413,811","6,759","65,265","13,661",0.67,0.17,0.04
0.57,479,569,0.54,"414,290","6,280","65,834","13,092",0.68,0.17,0.04
0.58,389,529,0.58,"414,679","5,891","66,363","12,563",0.68,0.16,0.04
0.59,415,500,0.55,"415,094","5,476","66,863","12,063",0.69,0.15,0.04
0.6,376,494,0.57,"415,470","5,100","67,357","11,569",0.69,0.15,0.03
0.61,347,536,0.61,"415,817","4,753","67,893","11,033",0.70,0.14,0.03
0.62,350,467,0.57,"416,167","4,403","68,360","10,566",0.71,0.13,0.03
0.63,276,455,0.62,"416,443","4,127","68,815","10,111",0.71,0.13,0.03
0.64,294,473,0.62,"416,737","3,833","69,288","9,638",0.72,0.12,0.03
0.65,258,473,0.65,"416,995","3,575","69,761","9,165",0.72,0.12,0.03
0.66,274,447,0.62,"417,269","3,301","70,208","8,718",0.73,0.11,0.02
0.67,260,417,0.62,"417,529","3,041","70,625","8,301",0.73,0.11,0.02
0.68,259,418,0.62,"417,788","2,782","71,043","7,883",0.74,0.10,0.02
0.69,211,389,0.65,"417,999","2,571","71,432","7,494",0.74,0.09,0.02
0.7,223,429,0.66,"418,222","2,348","71,861","7,065",0.75,0.09,0.02
0.71,193,386,0.67,"418,415","2,155","72,247","6,679",0.76,0.08,0.02
0.72,214,417,0.66,"418,629","1,941","72,664","6,262",0.76,0.08,0.02
0.73,186,410,0.69,"418,815","1,755","73,074","5,852",0.77,0.07,0.02
0.74,175,415,0.70,"418,990","1,580","73,489","5,437",0.77,0.07,0.01
0.75,186,402,0.68,"419,176","1,394","73,891","5,035",0.78,0.06,0.01
0.76,158,384,0.71,"419,334","1,236","74,275","4,651",0.79,0.06,0.01
0.77,151,439,0.74,"419,485","1,085","74,714","4,212",0.80,0.05,0.01
0.78,116,360,0.76,"419,601",969,"75,074","3,852",0.80,0.05,0.01
0.79,140,396,0.74,"419,741",829,"75,470","3,456",0.81,0.04,0.01
0.8,117,378,0.76,"419,858",712,"75,848","3,078",0.81,0.04,0.01
0.81,123,349,0.74,"419,981",589,"76,197","2,729",0.82,0.03,0.01
0.82,97,364,0.79,"420,078",492,"76,561","2,365",0.83,0.03,0.01
0.83,106,339,0.76,"420,184",386,"76,900","2,026",0.84,0.03,0.00
0.84,79,338,0.81,"420,263",307,"77,238","1,688",0.85,0.02,0.00
0.85,65,286,0.81,"420,328",242,"77,524","1,402",0.85,0.02,0.00
0.86,73,265,0.78,"420,401",169,"77,789","1,137",0.87,0.01,0.00
0.87,45,231,0.84,"420,446",124,"78,020",906,0.88,0.01,0.00
0.88,41,206,0.83,"420,487",83,"78,226",700,0.89,0.01,0.00
0.89,24,187,0.89,"420,511",59,"78,413",513,0.90,0.01,0.00
0.9,23,131,0.85,"420,534",36,"78,544",382,0.91,0.00,0.00
0.91,16,131,0.89,"420,550",20,"78,675",251,0.93,0.00,0.00
0.92,5,84,0.94,"420,555",15,"78,759",167,0.92,0.00,0.00
0.93,8,72,0.90,"420,563",7,"78,831",95,0.93,0.00,0.00
0.94,6,36,0.86,"420,569",1,"78,867",59,0.98,0.00,0.00
0.95,1,32,0.97,"420,570",0,"78,899",27,1.00,0.00,0.00
0.96,0,5,1.00,"420,570",0,"78,904",22,1.00,0.00,0.00
0.97,0,8,1.00,"420,570",0,"78,912",14,1.00,0.00,0.00
0.98,0,9,1.00,"420,570",0,"78,921",5,1.00,0.00,0.00
0.99,0,5,1.00,"420,570",0,"78,926",0,nan,0.00,0.00
1.0,0,0,nan,"420,570",0,"78,926",0,nan,0.00,0.00
