p,Neg,Pos,Neg/Pos,TN,FP,FN,TP,FP/TP,Prec.,Rec.,$\hat{p}$
0.0,0,0,nan,0,"420,570",0,"78,926",5.33,0.16,1.00,1.00
0.01,"16,328",121,134.94,"16,328","404,242",121,"78,805",5.13,0.16,1.00,0.97
0.02,"28,867",409,70.58,"45,195","375,375",530,"78,396",4.79,0.17,0.99,0.91
0.03,"29,808",701,42.52,"75,003","345,567","1,231","77,695",4.45,0.18,0.98,0.85
0.04,"28,016",984,28.47,"103,019","317,551","2,215","76,711",4.14,0.19,0.97,0.79
0.05,"25,919","1,109",23.37,"128,938","291,632","3,324","75,602",3.86,0.21,0.96,0.74
0.06,"23,356","1,338",17.46,"152,294","268,276","4,662","74,264",3.61,0.22,0.94,0.69
0.07,"21,431","1,446",14.82,"173,725","246,845","6,108","72,818",3.39,0.23,0.92,0.64
0.08,"19,569","1,559",12.55,"193,294","227,276","7,667","71,259",3.19,0.24,0.90,0.60
0.09,"18,104","1,634",11.08,"211,398","209,172","9,301","69,625",3.00,0.25,0.88,0.56
0.1,"16,306","1,636",9.97,"227,704","192,866","10,937","67,989",2.84,0.26,0.86,0.52
0.11,"14,986","1,683",8.90,"242,690","177,880","12,620","66,306",2.68,0.27,0.84,0.49
0.12,"13,662","1,645",8.31,"256,352","164,218","14,265","64,661",2.54,0.28,0.82,0.46
0.13,"12,437","1,756",7.08,"268,789","151,781","16,021","62,905",2.41,0.29,0.80,0.43
0.14,"11,342","1,691",6.71,"280,131","140,439","17,712","61,214",2.29,0.30,0.78,0.40
0.15,"10,538","1,722",6.12,"290,669","129,901","19,434","59,492",2.18,0.31,0.75,0.38
0.16,"9,501","1,697",5.60,"300,170","120,400","21,131","57,795",2.08,0.32,0.73,0.36
0.17,"8,920","1,718",5.19,"309,090","111,480","22,849","56,077",1.99,0.33,0.71,0.34
0.18,"8,160","1,679",4.86,"317,250","103,320","24,528","54,398",1.90,0.34,0.69,0.32
0.19,"7,702","1,606",4.80,"324,952","95,618","26,134","52,792",1.81,0.36,0.67,0.30
0.2,"6,902","1,635",4.22,"331,854","88,716","27,769","51,157",1.73,0.37,0.65,0.28
