p,Neg,Pos,Neg/Pos,TN,FP,FN,TP,FP/TP,Prec.,Rec.,$\hat{p}$
0.0,0,0,nan,0,"420,570",0,"78,926",5.33,0.16,1.00,1.00
0.01,288,0,inf,288,"420,282",0,"78,926",5.33,0.16,1.00,1.00
0.02,576,2,288.00,864,"419,706",2,"78,924",5.32,0.16,1.00,1.00
0.03,"1,115",3,371.67,"1,979","418,591",5,"78,921",5.30,0.16,1.00,1.00
0.04,"1,775",4,443.75,"3,754","416,816",9,"78,917",5.28,0.16,1.00,0.99
0.05,"2,583",10,258.30,"6,337","414,233",19,"78,907",5.25,0.16,1.00,0.99
0.06,"3,138",14,224.14,"9,475","411,095",33,"78,893",5.21,0.16,1.00,0.98
0.07,"3,670",21,174.76,"13,145","407,425",54,"78,872",5.17,0.16,1.00,0.97
0.08,"4,206",34,123.71,"17,351","403,219",88,"78,838",5.11,0.16,1.00,0.97
0.09,"4,730",38,124.47,"22,081","398,489",126,"78,800",5.06,0.17,1.00,0.96
0.1,"5,301",61,86.90,"27,382","393,188",187,"78,739",4.99,0.17,1.00,0.94
0.11,"5,749",71,80.97,"33,131","387,439",258,"78,668",4.92,0.17,1.00,0.93
0.12,"6,097",91,67.00,"39,228","381,342",349,"78,577",4.85,0.17,1.00,0.92
0.13,"6,415",95,67.53,"45,643","374,927",444,"78,482",4.78,0.17,0.99,0.91
0.14,"6,747",118,57.18,"52,390","368,180",562,"78,364",4.70,0.18,0.99,0.89
0.15,"7,127",136,52.40,"59,517","361,053",698,"78,228",4.62,0.18,0.99,0.88
0.16,"7,210",171,42.16,"66,727","353,843",869,"78,057",4.53,0.18,0.99,0.86
0.17,"7,687",193,39.83,"74,414","346,156","1,062","77,864",4.45,0.18,0.99,0.85
0.18,"7,760",195,39.79,"82,174","338,396","1,257","77,669",4.36,0.19,0.98,0.83
0.19,"8,082",248,32.59,"90,256","330,314","1,505","77,421",4.27,0.19,0.98,0.82
0.2,"8,178",280,29.21,"98,434","322,136","1,785","77,141",4.18,0.19,0.98,0.80
0.21,"8,024",301,26.66,"106,458","314,112","2,086","76,840",4.09,0.20,0.97,0.78
0.22,"8,103",296,27.38,"114,561","306,009","2,382","76,544",4.00,0.20,0.97,0.77
0.23,"8,251",359,22.98,"122,812","297,758","2,741","76,185",3.91,0.20,0.97,0.75
0.24,"8,440",387,21.81,"131,252","289,318","3,128","75,798",3.82,0.21,0.96,0.73
0.25,"8,497",454,18.72,"139,749","280,821","3,582","75,344",3.73,0.21,0.95,0.71
0.26,"8,557",467,18.32,"148,306","272,264","4,049","74,877",3.64,0.22,0.95,0.69
0.27,"8,491",516,16.46,"156,797","263,773","4,565","74,361",3.55,0.22,0.94,0.68
0.28,"8,440",570,14.81,"165,237","255,333","5,135","73,791",3.46,0.22,0.93,0.66
0.29,"8,360",577,14.49,"173,597","246,973","5,712","73,214",3.37,0.23,0.93,0.64
0.3,"8,431",600,14.05,"182,028","238,542","6,312","72,614",3.29,0.23,0.92,0.62
0.31,"8,431",643,13.11,"190,459","230,111","6,955","71,971",3.20,0.24,0.91,0.60
0.32,"8,285",708,11.70,"198,744","221,826","7,663","71,263",3.11,0.24,0.90,0.59
0.33,"8,240",728,11.32,"206,984","213,586","8,391","70,535",3.03,0.25,0.89,0.57
0.34,"8,233",797,10.33,"215,217","205,353","9,188","69,738",2.94,0.25,0.88,0.55
0.35,"7,989",758,10.54,"223,206","197,364","9,946","68,980",2.86,0.26,0.87,0.53
0.36,"8,012",832,9.63,"231,218","189,352","10,778","68,148",2.78,0.26,0.86,0.52
0.37,"7,856",928,8.47,"239,074","181,496","11,706","67,220",2.70,0.27,0.85,0.50
0.38,"7,762",914,8.49,"246,836","173,734","12,620","66,306",2.62,0.28,0.84,0.48
0.39,"7,685",962,7.99,"254,521","166,049","13,582","65,344",2.54,0.28,0.83,0.46
0.4,"7,443","1,025",7.26,"261,964","158,606","14,607","64,319",2.47,0.29,0.81,0.45
0.41,"7,289","1,072",6.80,"269,253","151,317","15,679","63,247",2.39,0.29,0.80,0.43
0.42,"6,993","1,119",6.25,"276,246","144,324","16,798","62,128",2.32,0.30,0.79,0.41
0.43,"7,036","1,178",5.97,"283,282","137,288","17,976","60,950",2.25,0.31,0.77,0.40
0.44,"6,754","1,169",5.78,"290,036","130,534","19,145","59,781",2.18,0.31,0.76,0.38
0.45,"6,649","1,191",5.58,"296,685","123,885","20,336","58,590",2.11,0.32,0.74,0.37
0.46,"6,623","1,263",5.24,"303,308","117,262","21,599","57,327",2.05,0.33,0.73,0.35
0.47,"6,251","1,248",5.01,"309,559","111,011","22,847","56,079",1.98,0.34,0.71,0.33
0.48,"6,084","1,264",4.81,"315,643","104,927","24,111","54,815",1.91,0.34,0.69,0.32
0.49,"5,956","1,424",4.18,"321,599","98,971","25,535","53,391",1.85,0.35,0.68,0.31
0.5,"5,531","1,426",3.88,"327,130","93,440","26,961","51,965",1.80,0.36,0.66,0.29
0.51,"5,728","1,432",4.00,"332,858","87,712","28,393","50,533",1.74,0.37,0.64,0.28
0.52,"5,385","1,484",3.63,"338,243","82,327","29,877","49,049",1.68,0.37,0.62,0.26
0.53,"5,237","1,445",3.62,"343,480","77,090","31,322","47,604",1.62,0.38,0.60,0.25
0.54,"5,029","1,496",3.36,"348,509","72,061","32,818","46,108",1.56,0.39,0.58,0.24
0.55,"4,743","1,489",3.19,"353,252","67,318","34,307","44,619",1.51,0.40,0.57,0.22
0.56,"4,647","1,505",3.09,"357,899","62,671","35,812","43,114",1.45,0.41,0.55,0.21
0.57,"4,412","1,524",2.90,"362,311","58,259","37,336","41,590",1.40,0.42,0.53,0.20
0.58,"4,268","1,515",2.82,"366,579","53,991","38,851","40,075",1.35,0.43,0.51,0.19
0.59,"4,155","1,562",2.66,"370,734","49,836","40,413","38,513",1.29,0.44,0.49,0.18
0.6,"4,020","1,482",2.71,"374,754","45,816","41,895","37,031",1.24,0.45,0.47,0.17
0.61,"3,756","1,562",2.40,"378,510","42,060","43,457","35,469",1.19,0.46,0.45,0.16
