p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}$
0.0,565,6,0.01,565,"420,005",6,"78,920",0.16,1.00,1.00
0.01,"2,270",38,0.02,"2,835","417,735",44,"78,882",0.16,1.00,0.99
0.02,"4,529",90,0.02,"7,364","413,206",134,"78,792",0.16,1.00,0.98
0.03,"6,914",167,0.02,"14,278","406,292",301,"78,625",0.16,1.00,0.97
0.04,"8,770",276,0.03,"23,048","397,522",577,"78,349",0.16,0.99,0.95
0.05,"9,811",375,0.04,"32,859","387,711",952,"77,974",0.17,0.99,0.93
0.06,"10,738",432,0.04,"43,597","376,973","1,384","77,542",0.17,0.98,0.91
0.07,"11,194",567,0.05,"54,791","365,779","1,951","76,975",0.17,0.98,0.89
0.08,"12,506",667,0.05,"67,297","353,273","2,618","76,308",0.18,0.97,0.86
0.09,"13,313",769,0.05,"80,610","339,960","3,387","75,539",0.18,0.96,0.83
0.1,"13,778",946,0.06,"94,388","326,182","4,333","74,593",0.19,0.95,0.80
0.11,"14,085","1,013",0.07,"108,473","312,097","5,346","73,580",0.19,0.93,0.77
0.12,"14,346","1,133",0.07,"122,819","297,751","6,479","72,447",0.20,0.92,0.74
0.13,"14,154","1,248",0.08,"136,973","283,597","7,727","71,199",0.20,0.90,0.71
0.14,"14,209","1,322",0.09,"151,182","269,388","9,049","69,877",0.21,0.89,0.68
0.15,"13,785","1,392",0.09,"164,967","255,603","10,441","68,485",0.21,0.87,0.65
0.16,"13,445","1,492",0.10,"178,412","242,158","11,933","66,993",0.22,0.85,0.62
0.17,"13,084","1,442",0.10,"191,496","229,074","13,375","65,551",0.22,0.83,0.59
0.18,"12,739","1,551",0.11,"204,235","216,335","14,926","64,000",0.23,0.81,0.56
0.19,"12,047","1,539",0.11,"216,282","204,288","16,465","62,461",0.23,0.79,0.53
0.2,"11,380","1,452",0.11,"227,662","192,908","17,917","61,009",0.24,0.77,0.51
0.21,"10,677","1,518",0.12,"238,339","182,231","19,435","59,491",0.25,0.75,0.48
0.22,"10,423","1,488",0.12,"248,762","171,808","20,923","58,003",0.25,0.73,0.46
0.23,"9,881","1,545",0.14,"258,643","161,927","22,468","56,458",0.26,0.72,0.44
0.24,"9,288","1,546",0.14,"267,931","152,639","24,014","54,912",0.26,0.70,0.42
0.25,"8,874","1,594",0.15,"276,805","143,765","25,608","53,318",0.27,0.68,0.39
0.26,"8,226","1,610",0.16,"285,031","135,539","27,218","51,708",0.28,0.66,0.37
0.27,"7,997","1,630",0.17,"293,028","127,542","28,848","50,078",0.28,0.63,0.36
0.28,"7,532","1,471",0.16,"300,560","120,010","30,319","48,607",0.29,0.62,0.34
0.29,"6,989","1,506",0.18,"307,549","113,021","31,825","47,101",0.29,0.60,0.32
0.3,"6,800","1,459",0.18,"314,349","106,221","33,284","45,642",0.30,0.58,0.30
0.31,"6,247","1,418",0.18,"320,596","99,974","34,702","44,224",0.31,0.56,0.29
0.32,"5,930","1,438",0.20,"326,526","94,044","36,140","42,786",0.31,0.54,0.27
0.33,"5,558","1,347",0.20,"332,084","88,486","37,487","41,439",0.32,0.53,0.26
0.34,"5,258","1,365",0.21,"337,342","83,228","38,852","40,074",0.33,0.51,0.25
0.35,"5,127","1,348",0.21,"342,469","78,101","40,200","38,726",0.33,0.49,0.23
0.36,"4,629","1,250",0.21,"347,098","73,472","41,450","37,476",0.34,0.47,0.22
0.37,"4,381","1,234",0.22,"351,479","69,091","42,684","36,242",0.34,0.46,0.21
0.38,"4,137","1,188",0.22,"355,616","64,954","43,872","35,054",0.35,0.44,0.20
0.39,"3,859","1,188",0.24,"359,475","61,095","45,060","33,866",0.36,0.43,0.19
0.4,"3,568","1,094",0.23,"363,043","57,527","46,154","32,772",0.36,0.42,0.18
0.41,"3,464","1,148",0.25,"366,507","54,063","47,302","31,624",0.37,0.40,0.17
0.42,"3,234","1,059",0.25,"369,741","50,829","48,361","30,565",0.38,0.39,0.16
0.43,"3,083","1,070",0.26,"372,824","47,746","49,431","29,495",0.38,0.37,0.15
0.44,"2,834","1,007",0.26,"375,658","44,912","50,438","28,488",0.39,0.36,0.15
0.45,"2,713",971,0.26,"378,371","42,199","51,409","27,517",0.39,0.35,0.14
0.46,"2,463",886,0.26,"380,834","39,736","52,295","26,631",0.40,0.34,0.13
0.47,"2,357",990,0.30,"383,191","37,379","53,285","25,641",0.41,0.32,0.13
0.48,"2,256",927,0.29,"385,447","35,123","54,212","24,714",0.41,0.31,0.12
0.49,"2,003",815,0.29,"387,450","33,120","55,027","23,899",0.42,0.30,0.11
0.5,"1,919",844,0.31,"389,369","31,201","55,871","23,055",0.42,0.29,0.11
0.51,"1,818",829,0.31,"391,187","29,383","56,700","22,226",0.43,0.28,0.10
0.52,"1,715",786,0.31,"392,902","27,668","57,486","21,440",0.44,0.27,0.10
0.53,"1,574",757,0.32,"394,476","26,094","58,243","20,683",0.44,0.26,0.09
0.54,"1,488",732,0.33,"395,964","24,606","58,975","19,951",0.45,0.25,0.09
0.55,"1,500",722,0.32,"397,464","23,106","59,697","19,229",0.45,0.24,0.08
0.56,"1,419",698,0.33,"398,883","21,687","60,395","18,531",0.46,0.23,0.08
0.57,"1,263",666,0.35,"400,146","20,424","61,061","17,865",0.47,0.23,0.08
0.58,"1,238",642,0.34,"401,384","19,186","61,703","17,223",0.47,0.22,0.07
0.59,"1,119",645,0.37,"402,503","18,067","62,348","16,578",0.48,0.21,0.07
0.6,"1,082",590,0.35,"403,585","16,985","62,938","15,988",0.48,0.20,0.07
0.61,965,614,0.39,"404,550","16,020","63,552","15,374",0.49,0.19,0.06
0.62,985,575,0.37,"405,535","15,035","64,127","14,799",0.50,0.19,0.06
0.63,827,586,0.41,"406,362","14,208","64,713","14,213",0.50,0.18,0.06
0.64,844,567,0.40,"407,206","13,364","65,280","13,646",0.51,0.17,0.05
0.65,735,529,0.42,"407,941","12,629","65,809","13,117",0.51,0.17,0.05
0.66,723,489,0.40,"408,664","11,906","66,298","12,628",0.51,0.16,0.05
0.67,743,500,0.40,"409,407","11,163","66,798","12,128",0.52,0.15,0.05
0.68,724,494,0.41,"410,131","10,439","67,292","11,634",0.53,0.15,0.04
0.69,634,490,0.44,"410,765","9,805","67,782","11,144",0.53,0.14,0.04
0.7,658,434,0.40,"411,423","9,147","68,216","10,710",0.54,0.14,0.04
