p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}$
0.0,"4,206",69,0.02,"4,206","416,364",69,"78,857",0.16,1.00,0.99
0.01,"5,855",127,0.02,"10,061","410,509",196,"78,730",0.16,1.00,0.98
0.02,"8,251",220,0.03,"18,312","402,258",416,"78,510",0.16,0.99,0.96
0.03,"9,803",344,0.03,"28,115","392,455",760,"78,166",0.17,0.99,0.94
0.04,"11,012",428,0.04,"39,127","381,443","1,188","77,738",0.17,0.98,0.92
0.05,"11,468",516,0.04,"50,595","369,975","1,704","77,222",0.17,0.98,0.90
0.06,"12,596",712,0.05,"63,191","357,379","2,416","76,510",0.18,0.97,0.87
0.07,"13,717",768,0.05,"76,908","343,662","3,184","75,742",0.18,0.96,0.84
0.08,"14,558",943,0.06,"91,466","329,104","4,127","74,799",0.19,0.95,0.81
0.09,"14,643","1,062",0.07,"106,109","314,461","5,189","73,737",0.19,0.93,0.78
0.1,"15,110","1,172",0.07,"121,219","299,351","6,361","72,565",0.20,0.92,0.74
0.11,"14,804","1,282",0.08,"136,023","284,547","7,643","71,283",0.20,0.90,0.71
0.12,"14,938","1,392",0.09,"150,961","269,609","9,035","69,891",0.21,0.89,0.68
0.13,"14,475","1,454",0.09,"165,436","255,134","10,489","68,437",0.21,0.87,0.65
0.14,"14,089","1,563",0.10,"179,525","241,045","12,052","66,874",0.22,0.85,0.62
0.15,"13,605","1,536",0.10,"193,130","227,440","13,588","65,338",0.22,0.83,0.59
0.16,"13,366","1,626",0.11,"206,496","214,074","15,214","63,712",0.23,0.81,0.56
0.17,"12,541","1,579",0.11,"219,037","201,533","16,793","62,133",0.24,0.79,0.53
0.18,"11,773","1,590",0.12,"230,810","189,760","18,383","60,543",0.24,0.77,0.50
0.19,"11,135","1,542",0.12,"241,945","178,625","19,925","59,001",0.25,0.75,0.48
0.2,"10,661","1,580",0.13,"252,606","167,964","21,505","57,421",0.25,0.73,0.45
0.21,"10,133","1,629",0.14,"262,739","157,831","23,134","55,792",0.26,0.71,0.43
0.22,"9,557","1,606",0.14,"272,296","148,274","24,740","54,186",0.27,0.69,0.41
0.23,"9,082","1,717",0.16,"281,378","139,192","26,457","52,469",0.27,0.66,0.38
0.24,"8,368","1,707",0.17,"289,746","130,824","28,164","50,762",0.28,0.64,0.36
0.25,"8,094","1,632",0.17,"297,840","122,730","29,796","49,130",0.29,0.62,0.34
0.26,"7,665","1,576",0.17,"305,505","115,065","31,372","47,554",0.29,0.60,0.33
0.27,"7,085","1,560",0.18,"312,590","107,980","32,932","45,994",0.30,0.58,0.31
0.28,"6,687","1,454",0.18,"319,277","101,293","34,386","44,540",0.31,0.56,0.29
0.29,"6,357","1,512",0.19,"325,634","94,936","35,898","43,028",0.31,0.55,0.28
0.3,"5,852","1,437",0.20,"331,486","89,084","37,335","41,591",0.32,0.53,0.26
0.31,"5,559","1,426",0.20,"337,045","83,525","38,761","40,165",0.32,0.51,0.25
0.32,"5,347","1,426",0.21,"342,392","78,178","40,187","38,739",0.33,0.49,0.23
0.33,"4,873","1,310",0.21,"347,265","73,305","41,497","37,429",0.34,0.47,0.22
0.34,"4,590","1,277",0.22,"351,855","68,715","42,774","36,152",0.34,0.46,0.21
0.35,"4,296","1,259",0.23,"356,151","64,419","44,033","34,893",0.35,0.44,0.20
0.36,"3,999","1,253",0.24,"360,150","60,420","45,286","33,640",0.36,0.43,0.19
0.37,"3,783","1,147",0.23,"363,933","56,637","46,433","32,493",0.36,0.41,0.18
0.38,"3,530","1,158",0.25,"367,463","53,107","47,591","31,335",0.37,0.40,0.17
0.39,"3,347","1,157",0.26,"370,810","49,760","48,748","30,178",0.38,0.38,0.16
0.4,"3,172","1,082",0.25,"373,982","46,588","49,830","29,096",0.38,0.37,0.15
0.41,"2,911","1,061",0.27,"376,893","43,677","50,891","28,035",0.39,0.36,0.14
0.42,"2,739",982,0.26,"379,632","40,938","51,873","27,053",0.40,0.34,0.14
0.43,"2,461",962,0.28,"382,093","38,477","52,835","26,091",0.40,0.33,0.13
0.44,"2,420","1,011",0.29,"384,513","36,057","53,846","25,080",0.41,0.32,0.12
0.45,"2,203",890,0.29,"386,716","33,854","54,736","24,190",0.42,0.31,0.12
0.46,"2,105",873,0.29,"388,821","31,749","55,609","23,317",0.42,0.30,0.11
0.47,"1,921",880,0.31,"390,742","29,828","56,489","22,437",0.43,0.28,0.10
0.48,"1,816",847,0.32,"392,558","28,012","57,336","21,590",0.44,0.27,0.10
0.49,"1,666",787,0.32,"394,224","26,346","58,123","20,803",0.44,0.26,0.09
0.5,"1,593",764,0.32,"395,817","24,753","58,887","20,039",0.45,0.25,0.09
0.51,"1,564",770,0.33,"397,381","23,189","59,657","19,269",0.45,0.24,0.09
0.52,"1,499",735,0.33,"398,880","21,690","60,392","18,534",0.46,0.23,0.08
0.53,"1,334",696,0.34,"400,214","20,356","61,088","17,838",0.47,0.23,0.08
0.54,"1,273",672,0.35,"401,487","19,083","61,760","17,166",0.47,0.22,0.07
0.55,"1,184",670,0.36,"402,671","17,899","62,430","16,496",0.48,0.21,0.07
0.56,"1,126",642,0.36,"403,797","16,773","63,072","15,854",0.49,0.20,0.07
0.57,"1,009",639,0.39,"404,806","15,764","63,711","15,215",0.49,0.19,0.06
0.58,995,586,0.37,"405,801","14,769","64,297","14,629",0.50,0.19,0.06
0.59,867,607,0.41,"406,668","13,902","64,904","14,022",0.50,0.18,0.06
0.6,825,574,0.41,"407,493","13,077","65,478","13,448",0.51,0.17,0.05
0.61,787,544,0.41,"408,280","12,290","66,022","12,904",0.51,0.16,0.05
0.62,767,509,0.40,"409,047","11,523","66,531","12,395",0.52,0.16,0.05
