p,Neg,Pos,Neg/Pos,TN,FP,FN,TP,FP/TP,Prec.,Rec.,$\hat{p}$
0.0,0,0,nan,0,"420,570",0,"78,926",5.33,0.16,1.00,1.00
0.01,8,0,inf,8,"420,562",0,"78,926",5.33,0.16,1.00,1.00
0.02,103,1,103.00,111,"420,459",1,"78,925",5.33,0.16,1.00,1.00
0.03,344,2,172.00,455,"420,115",3,"78,923",5.32,0.16,1.00,1.00
0.04,602,8,75.25,"1,057","419,513",11,"78,915",5.32,0.16,1.00,1.00
0.05,"1,057",5,211.40,"2,114","418,456",16,"78,910",5.30,0.16,1.00,1.00
0.06,"1,292",23,56.17,"3,406","417,164",39,"78,887",5.29,0.16,1.00,0.99
0.07,"1,770",28,63.21,"5,176","415,394",67,"78,859",5.27,0.16,1.00,0.99
0.08,"2,000",33,60.61,"7,176","413,394",100,"78,826",5.24,0.16,1.00,0.99
0.09,"2,444",35,69.83,"9,620","410,950",135,"78,791",5.22,0.16,1.00,0.98
0.1,"2,884",76,37.95,"12,504","408,066",211,"78,715",5.18,0.16,1.00,0.97
0.11,"3,239",75,43.19,"15,743","404,827",286,"78,640",5.15,0.16,1.00,0.97
0.12,"3,906",108,36.17,"19,649","400,921",394,"78,532",5.11,0.16,1.00,0.96
0.13,"4,105",104,39.47,"23,754","396,816",498,"78,428",5.06,0.17,0.99,0.95
0.14,"4,389",158,27.78,"28,143","392,427",656,"78,270",5.01,0.17,0.99,0.94
0.15,"4,639",161,28.81,"32,782","387,788",817,"78,109",4.96,0.17,0.99,0.93
0.16,"5,203",202,25.76,"37,985","382,585","1,019","77,907",4.91,0.17,0.99,0.92
0.17,"5,664",213,26.59,"43,649","376,921","1,232","77,694",4.85,0.17,0.98,0.91
0.18,"5,803",228,25.45,"49,452","371,118","1,460","77,466",4.79,0.17,0.98,0.90
0.19,"6,146",316,19.45,"55,598","364,972","1,776","77,150",4.73,0.17,0.98,0.89
0.2,"6,316",282,22.40,"61,914","358,656","2,058","76,868",4.67,0.18,0.97,0.87
0.21,"6,700",382,17.54,"68,614","351,956","2,440","76,486",4.60,0.18,0.97,0.86
0.22,"6,999",349,20.05,"75,613","344,957","2,789","76,137",4.53,0.18,0.96,0.84
0.23,"7,514",416,18.06,"83,127","337,443","3,205","75,721",4.46,0.18,0.96,0.83
0.24,"7,573",496,15.27,"90,700","329,870","3,701","75,225",4.39,0.19,0.95,0.81
0.25,"7,845",518,15.14,"98,545","322,025","4,219","74,707",4.31,0.19,0.95,0.79
0.26,"7,964",582,13.68,"106,509","314,061","4,801","74,125",4.24,0.19,0.94,0.78
0.27,"8,384",620,13.52,"114,893","305,677","5,421","73,505",4.16,0.19,0.93,0.76
0.28,"8,610",675,12.76,"123,503","297,067","6,096","72,830",4.08,0.20,0.92,0.74
0.29,"8,708",760,11.46,"132,211","288,359","6,856","72,070",4.00,0.20,0.91,0.72
0.3,"8,895",782,11.37,"141,106","279,464","7,638","71,288",3.92,0.20,0.90,0.70
0.31,"9,102",819,11.11,"150,208","270,362","8,457","70,469",3.84,0.21,0.89,0.68
0.32,"9,105",900,10.12,"159,313","261,257","9,357","69,569",3.76,0.21,0.88,0.66
0.33,"8,822",990,8.91,"168,135","252,435","10,347","68,579",3.68,0.21,0.87,0.64
0.34,"8,821",959,9.20,"176,956","243,614","11,306","67,620",3.60,0.22,0.86,0.62
0.35,"8,873",968,9.17,"185,829","234,741","12,274","66,652",3.52,0.22,0.84,0.60
0.36,"8,796",997,8.82,"194,625","225,945","13,271","65,655",3.44,0.23,0.83,0.58
0.37,"8,906","1,080",8.25,"203,531","217,039","14,351","64,575",3.36,0.23,0.82,0.56
0.38,"8,870","1,121",7.91,"212,401","208,169","15,472","63,454",3.28,0.23,0.80,0.54
0.39,"9,003","1,180",7.63,"221,404","199,166","16,652","62,274",3.20,0.24,0.79,0.52
0.4,"8,694","1,209",7.19,"230,098","190,472","17,861","61,065",3.12,0.24,0.77,0.50
0.41,"8,456","1,196",7.07,"238,554","182,016","19,057","59,869",3.04,0.25,0.76,0.48
0.42,"8,309","1,237",6.72,"246,863","173,707","20,294","58,632",2.96,0.25,0.74,0.47
0.43,"8,317","1,348",6.17,"255,180","165,390","21,642","57,284",2.89,0.26,0.73,0.45
0.44,"8,032","1,359",5.91,"263,212","157,358","23,001","55,925",2.81,0.26,0.71,0.43
0.45,"8,004","1,412",5.67,"271,216","149,354","24,413","54,513",2.74,0.27,0.69,0.41
0.46,"7,839","1,374",5.71,"279,055","141,515","25,787","53,139",2.66,0.27,0.67,0.39
0.47,"7,617","1,470",5.18,"286,672","133,898","27,257","51,669",2.59,0.28,0.65,0.37
0.48,"7,445","1,425",5.22,"294,117","126,453","28,682","50,244",2.52,0.28,0.64,0.35
0.49,"7,284","1,480",4.92,"301,401","119,169","30,162","48,764",2.44,0.29,0.62,0.34
0.5,"6,873","1,479",4.65,"308,274","112,296","31,641","47,285",2.37,0.30,0.60,0.32
0.51,"6,634","1,594",4.16,"314,908","105,662","33,235","45,691",2.31,0.30,0.58,0.30
0.52,"6,520","1,497",4.36,"321,428","99,142","34,732","44,194",2.24,0.31,0.56,0.29
0.53,"6,286","1,579",3.98,"327,714","92,856","36,311","42,615",2.18,0.31,0.54,0.27
0.54,"6,069","1,509",4.02,"333,783","86,787","37,820","41,106",2.11,0.32,0.52,0.26
0.55,"5,845","1,591",3.67,"339,628","80,942","39,411","39,515",2.05,0.33,0.50,0.24
0.56,"5,385","1,533",3.51,"345,013","75,557","40,944","37,982",1.99,0.33,0.48,0.23
0.57,"5,304","1,434",3.70,"350,317","70,253","42,378","36,548",1.92,0.34,0.46,0.21
0.58,"4,928","1,502",3.28,"355,245","65,325","43,880","35,046",1.86,0.35,0.44,0.20
0.59,"4,687","1,437",3.26,"359,932","60,638","45,317","33,609",1.80,0.36,0.43,0.19
0.6,"4,584","1,373",3.34,"364,516","56,054","46,690","32,236",1.74,0.37,0.41,0.18
0.61,"4,066","1,464",2.78,"368,582","51,988","48,154","30,772",1.69,0.37,0.39,0.17
0.62,"3,975","1,439",2.76,"372,557","48,013","49,593","29,333",1.64,0.38,0.37,0.15
0.63,"3,857","1,384",2.79,"376,414","44,156","50,977","27,949",1.58,0.39,0.35,0.14
0.64,"3,614","1,384",2.61,"380,028","40,542","52,361","26,565",1.53,0.40,0.34,0.13
0.65,"3,278","1,324",2.48,"383,306","37,264","53,685","25,241",1.48,0.40,0.32,0.13
0.66,"3,211","1,295",2.48,"386,517","34,053","54,980","23,946",1.42,0.41,0.30,0.12
0.67,"2,951","1,255",2.35,"389,468","31,102","56,235","22,691",1.37,0.42,0.29,0.11
0.68,"2,872","1,252",2.29,"392,340","28,230","57,487","21,439",1.32,0.43,0.27,0.10
0.69,"2,545","1,287",1.98,"394,885","25,685","58,774","20,152",1.27,0.44,0.26,0.09
0.7,"2,437","1,198",2.03,"397,322","23,248","59,972","18,954",1.23,0.45,0.24,0.08
0.71,"2,231","1,137",1.96,"399,553","21,017","61,109","17,817",1.18,0.46,0.23,0.08
0.72,"2,065","1,188",1.74,"401,618","18,952","62,297","16,629",1.14,0.47,0.21,0.07
0.73,"1,981","1,084",1.83,"403,599","16,971","63,381","15,545",1.09,0.48,0.20,0.07
0.74,"1,767","1,114",1.59,"405,366","15,204","64,495","14,431",1.05,0.49,0.18,0.06
0.75,"1,624","1,074",1.51,"406,990","13,580","65,569","13,357",1.02,0.50,0.17,0.05
0.76,"1,542","1,051",1.47,"408,532","12,038","66,620","12,306",0.98,0.51,0.16,0.05
0.77,"1,504","1,055",1.43,"410,036","10,534","67,675","11,251",0.94,0.52,0.14,0.04
0.78,"1,308","1,083",1.21,"411,344","9,226","68,758","10,168",0.91,0.52,0.13,0.04
0.79,"1,329",973,1.37,"412,673","7,897","69,731","9,195",0.86,0.54,0.12,0.03
0.8,"1,127",980,1.15,"413,800","6,770","70,711","8,215",0.82,0.55,0.10,0.03
0.81,"1,074",981,1.09,"414,874","5,696","71,692","7,234",0.79,0.56,0.09,0.03
0.82,877,948,0.93,"415,751","4,819","72,640","6,286",0.77,0.57,0.08,0.02
0.83,913,890,1.03,"416,664","3,906","73,530","5,396",0.72,0.58,0.07,0.02
0.84,821,814,1.01,"417,485","3,085","74,344","4,582",0.67,0.60,0.06,0.02
0.85,660,782,0.84,"418,145","2,425","75,126","3,800",0.64,0.61,0.05,0.01
0.86,557,716,0.78,"418,702","1,868","75,842","3,084",0.61,0.62,0.04,0.01
0.87,517,684,0.76,"419,219","1,351","76,526","2,400",0.56,0.64,0.03,0.01
0.88,385,612,0.63,"419,604",966,"77,138","1,788",0.54,0.65,0.02,0.01
0.89,324,491,0.66,"419,928",642,"77,629","1,297",0.49,0.67,0.02,0.00
0.9,239,418,0.57,"420,167",403,"78,047",879,0.46,0.69,0.01,0.00
0.91,171,334,0.51,"420,338",232,"78,381",545,0.43,0.70,0.01,0.00
0.92,111,249,0.45,"420,449",121,"78,630",296,0.41,0.71,0.00,0.00
0.93,60,152,0.39,"420,509",61,"78,782",144,0.42,0.70,0.00,0.00
0.94,41,68,0.60,"420,550",20,"78,850",76,0.26,0.79,0.00,0.00
0.95,14,45,0.31,"420,564",6,"78,895",31,0.19,0.84,0.00,0.00
0.96,3,16,0.19,"420,567",3,"78,911",15,0.20,0.83,0.00,0.00
0.97,3,10,0.30,"420,570",0,"78,921",5,0.00,1.00,0.00,0.00
0.98,0,4,0.00,"420,570",0,"78,925",1,0.00,1.00,0.00,0.00
0.99,0,1,0.00,"420,570",0,"78,926",0,nan,nan,0.00,0.00
1.0,0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
