p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}$
0.0,"4,254",214,0.05,"4,254","416,316",214,"78,712",0.16,1.00,0.99
0.01,"6,927",365,0.05,"11,181","409,389",579,"78,347",0.16,0.99,0.98
0.02,"12,044",709,0.06,"23,225","397,345","1,288","77,638",0.16,0.98,0.95
0.03,"13,054",761,0.06,"36,279","384,291","2,049","76,877",0.17,0.97,0.92
0.04,"13,989",996,0.07,"50,268","370,302","3,045","75,881",0.17,0.96,0.89
0.05,"10,310",688,0.06,"60,578","359,992","3,733","75,193",0.17,0.95,0.87
0.06,"7,993",651,0.08,"68,571","351,999","4,384","74,542",0.17,0.94,0.85
0.07,"6,457",494,0.07,"75,028","345,542","4,878","74,048",0.18,0.94,0.84
0.08,"4,689",401,0.08,"79,717","340,853","5,279","73,647",0.18,0.93,0.83
0.09,"4,008",397,0.09,"83,725","336,845","5,676","73,250",0.18,0.93,0.82
0.1,"4,312",411,0.09,"88,037","332,533","6,087","72,839",0.18,0.92,0.81
0.11,"4,211",427,0.09,"92,248","328,322","6,514","72,412",0.18,0.92,0.80
0.12,"5,378",625,0.10,"97,626","322,944","7,139","71,787",0.18,0.91,0.79
0.13,"5,210",613,0.11,"102,836","317,734","7,752","71,174",0.18,0.90,0.78
0.14,"6,124",687,0.10,"108,960","311,610","8,439","70,487",0.18,0.89,0.76
0.15,"7,076",815,0.10,"116,036","304,534","9,254","69,672",0.19,0.88,0.75
0.16,"7,248",913,0.11,"123,284","297,286","10,167","68,759",0.19,0.87,0.73
0.17,"8,465","1,098",0.11,"131,749","288,821","11,265","67,661",0.19,0.86,0.71
0.18,"8,148","1,058",0.11,"139,897","280,673","12,323","66,603",0.19,0.84,0.70
0.19,"9,704","1,233",0.11,"149,601","270,969","13,556","65,370",0.19,0.83,0.67
0.2,"9,873","1,387",0.12,"159,474","261,096","14,943","63,983",0.20,0.81,0.65
0.21,"9,650","1,372",0.12,"169,124","251,446","16,315","62,611",0.20,0.79,0.63
0.22,"9,966","1,426",0.13,"179,090","241,480","17,741","61,185",0.20,0.78,0.61
0.23,"11,049","1,743",0.14,"190,139","230,431","19,484","59,442",0.21,0.75,0.58
0.24,"9,765","1,534",0.14,"199,904","220,666","21,018","57,908",0.21,0.73,0.56
0.25,"8,417","1,315",0.14,"208,321","212,249","22,333","56,593",0.21,0.72,0.54
0.26,"9,576","1,660",0.15,"217,897","202,673","23,993","54,933",0.21,0.70,0.52
0.27,"9,423","1,560",0.14,"227,320","193,250","25,553","53,373",0.22,0.68,0.49
0.28,"7,778","1,331",0.15,"235,098","185,472","26,884","52,042",0.22,0.66,0.48
0.29,"7,899","1,507",0.16,"242,997","177,573","28,391","50,535",0.22,0.64,0.46
0.3,"9,902","1,749",0.15,"252,899","167,671","30,140","48,786",0.23,0.62,0.43
0.31,"7,347","1,340",0.15,"260,246","160,324","31,480","47,446",0.23,0.60,0.42
0.32,"7,791","1,522",0.16,"268,037","152,533","33,002","45,924",0.23,0.58,0.40
0.33,"8,538","1,589",0.16,"276,575","143,995","34,591","44,335",0.24,0.56,0.38
0.34,"6,259","1,275",0.17,"282,834","137,736","35,866","43,060",0.24,0.55,0.36
0.35,"7,528","1,598",0.18,"290,362","130,208","37,464","41,462",0.24,0.53,0.34
0.36,"6,270","1,345",0.18,"296,632","123,938","38,809","40,117",0.24,0.51,0.33
0.37,"5,154","1,108",0.18,"301,786","118,784","39,917","39,009",0.25,0.49,0.32
0.38,"5,715","1,306",0.19,"307,501","113,069","41,223","37,703",0.25,0.48,0.30
0.39,"4,524","1,008",0.18,"312,025","108,545","42,231","36,695",0.25,0.46,0.29
0.4,"4,402","1,071",0.20,"316,427","104,143","43,302","35,624",0.25,0.45,0.28
0.41,"4,118",958,0.19,"320,545","100,025","44,260","34,666",0.26,0.44,0.27
0.42,"4,294","1,048",0.20,"324,839","95,731","45,308","33,618",0.26,0.43,0.26
