p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}$
0.0,"4,321",208,0.05,"4,321","416,249",208,"78,718",0.16,1.00,0.99
0.01,"2,934",156,0.05,"7,255","413,315",364,"78,562",0.16,1.00,0.98
0.02,"3,013",148,0.05,"10,268","410,302",512,"78,414",0.16,0.99,0.98
0.03,"4,848",278,0.05,"15,116","405,454",790,"78,136",0.16,0.99,0.97
0.04,"6,139",377,0.06,"21,255","399,315","1,167","77,759",0.16,0.99,0.96
0.05,"5,625",280,0.05,"26,880","393,690","1,447","77,479",0.16,0.98,0.94
0.06,"6,419",392,0.06,"33,299","387,271","1,839","77,087",0.17,0.98,0.93
0.07,"6,847",411,0.06,"40,146","380,424","2,250","76,676",0.17,0.97,0.92
0.08,"6,905",490,0.07,"47,051","373,519","2,740","76,186",0.17,0.97,0.90
0.09,"5,548",421,0.07,"52,599","367,971","3,161","75,765",0.17,0.96,0.89
0.1,"5,235",362,0.06,"57,834","362,736","3,523","75,403",0.17,0.96,0.88
0.11,"5,074",369,0.07,"62,908","357,662","3,892","75,034",0.17,0.95,0.87
0.12,"3,974",344,0.08,"66,882","353,688","4,236","74,690",0.17,0.95,0.86
0.13,"3,177",260,0.08,"70,059","350,511","4,496","74,430",0.18,0.94,0.85
0.14,"3,464",273,0.07,"73,523","347,047","4,769","74,157",0.18,0.94,0.84
0.15,"2,774",227,0.08,"76,297","344,273","4,996","73,930",0.18,0.94,0.84
0.16,"2,265",172,0.07,"78,562","342,008","5,168","73,758",0.18,0.93,0.83
0.17,"2,388",239,0.09,"80,950","339,620","5,407","73,519",0.18,0.93,0.83
0.18,"2,568",244,0.09,"83,518","337,052","5,651","73,275",0.18,0.93,0.82
0.19,"2,004",168,0.08,"85,522","335,048","5,819","73,107",0.18,0.93,0.82
0.2,"2,367",244,0.09,"87,889","332,681","6,063","72,863",0.18,0.92,0.81
0.21,"2,728",290,0.10,"90,617","329,953","6,353","72,573",0.18,0.92,0.81
0.22,"2,776",268,0.09,"93,393","327,177","6,621","72,305",0.18,0.92,0.80
0.23,"2,997",360,0.11,"96,390","324,180","6,981","71,945",0.18,0.91,0.79
0.24,"2,978",347,0.10,"99,368","321,202","7,328","71,598",0.18,0.91,0.79
0.25,"3,543",417,0.11,"102,911","317,659","7,745","71,181",0.18,0.90,0.78
0.26,"3,626",368,0.09,"106,537","314,033","8,113","70,813",0.18,0.90,0.77
0.27,"3,948",476,0.11,"110,485","310,085","8,589","70,337",0.18,0.89,0.76
0.28,"4,550",556,0.11,"115,035","305,535","9,145","69,781",0.19,0.88,0.75
0.29,"4,356",520,0.11,"119,391","301,179","9,665","69,261",0.19,0.88,0.74
0.3,"5,360",650,0.11,"124,751","295,819","10,315","68,611",0.19,0.87,0.73
0.31,"5,266",698,0.12,"130,017","290,553","11,013","67,913",0.19,0.86,0.72
0.32,"5,387",711,0.12,"135,404","285,166","11,724","67,202",0.19,0.85,0.71
0.33,"6,188",770,0.11,"141,592","278,978","12,494","66,432",0.19,0.84,0.69
0.34,"6,449",861,0.12,"148,041","272,529","13,355","65,571",0.19,0.83,0.68
0.35,"7,212",966,0.12,"155,253","265,317","14,321","64,605",0.20,0.82,0.66
0.36,"7,071",993,0.12,"162,324","258,246","15,314","63,612",0.20,0.81,0.64
0.37,"6,406",957,0.13,"168,730","251,840","16,271","62,655",0.20,0.79,0.63
0.38,"8,201","1,152",0.12,"176,931","243,639","17,423","61,503",0.20,0.78,0.61
0.39,"7,611","1,169",0.13,"184,542","236,028","18,592","60,334",0.20,0.76,0.59
0.4,"7,620","1,191",0.14,"192,162","228,408","19,783","59,143",0.21,0.75,0.58
0.41,"7,439","1,157",0.13,"199,601","220,969","20,940","57,986",0.21,0.73,0.56
0.42,"7,040","1,075",0.13,"206,641","213,929","22,015","56,911",0.21,0.72,0.54
0.43,"7,320","1,193",0.14,"213,961","206,609","23,208","55,718",0.21,0.71,0.53
0.44,"7,452","1,330",0.15,"221,413","199,157","24,538","54,388",0.21,0.69,0.51
0.45,"6,743","1,110",0.14,"228,156","192,414","25,648","53,278",0.22,0.68,0.49
0.46,"6,595","1,203",0.15,"234,751","185,819","26,851","52,075",0.22,0.66,0.48
0.47,"6,527","1,144",0.15,"241,278","179,292","27,995","50,931",0.22,0.65,0.46
0.48,"7,690","1,378",0.15,"248,968","171,602","29,373","49,553",0.22,0.63,0.44
0.49,"6,445","1,157",0.15,"255,413","165,157","30,530","48,396",0.23,0.61,0.43
0.5,"6,924","1,348",0.16,"262,337","158,233","31,878","47,048",0.23,0.60,0.41
0.51,"7,312","1,371",0.16,"269,649","150,921","33,249","45,677",0.23,0.58,0.39
0.52,"6,332","1,232",0.16,"275,981","144,589","34,481","44,445",0.24,0.56,0.38
0.53,"6,711","1,363",0.17,"282,692","137,878","35,844","43,082",0.24,0.55,0.36
0.54,"6,534","1,368",0.17,"289,226","131,344","37,212","41,714",0.24,0.53,0.35
0.55,"5,969","1,253",0.17,"295,195","125,375","38,465","40,461",0.24,0.51,0.33
