p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}$
0.0,"4,206",37,0.01,"4,206","416,364",37,"78,889",0.16,1.00,0.99
0.01,"10,119",189,0.02,"14,325","406,245",226,"78,700",0.16,1.00,0.97
0.02,"15,043",346,0.02,"29,368","391,202",572,"78,354",0.17,0.99,0.94
0.03,"17,895",557,0.03,"47,263","373,307","1,129","77,797",0.17,0.99,0.90
0.04,"19,383",779,0.04,"66,646","353,924","1,908","77,018",0.18,0.98,0.86
0.05,"20,456",885,0.04,"87,102","333,468","2,793","76,133",0.19,0.96,0.82
0.06,"20,165","1,122",0.05,"107,267","313,303","3,915","75,011",0.19,0.95,0.78
0.07,"19,670","1,321",0.06,"126,937","293,633","5,236","73,690",0.20,0.93,0.74
0.08,"19,364","1,434",0.07,"146,301","274,269","6,670","72,256",0.21,0.92,0.69
0.09,"18,486","1,540",0.08,"164,787","255,783","8,210","70,716",0.22,0.90,0.65
0.1,"17,401","1,639",0.09,"182,188","238,382","9,849","69,077",0.22,0.88,0.62
0.11,"16,627","1,720",0.09,"198,815","221,755","11,569","67,357",0.23,0.85,0.58
0.12,"15,383","1,858",0.11,"214,198","206,372","13,427","65,499",0.24,0.83,0.54
0.13,"14,307","1,846",0.11,"228,505","192,065","15,273","63,653",0.25,0.81,0.51
0.14,"13,251","1,856",0.12,"241,756","178,814","17,129","61,797",0.26,0.78,0.48
0.15,"12,290","1,879",0.13,"254,046","166,524","19,008","59,918",0.26,0.76,0.45
0.16,"11,374","1,853",0.14,"265,420","155,150","20,861","58,065",0.27,0.74,0.43
0.17,"10,779","1,786",0.14,"276,199","144,371","22,647","56,279",0.28,0.71,0.40
0.18,"9,937","1,781",0.15,"286,136","134,434","24,428","54,498",0.29,0.69,0.38
0.19,"9,267","1,710",0.16,"295,403","125,167","26,138","52,788",0.30,0.67,0.36
0.2,"8,479","1,819",0.18,"303,882","116,688","27,957","50,969",0.30,0.65,0.34
0.21,"7,915","1,721",0.18,"311,797","108,773","29,678","49,248",0.31,0.62,0.32
0.22,"7,235","1,674",0.19,"319,032","101,538","31,352","47,574",0.32,0.60,0.30
0.23,"6,757","1,635",0.19,"325,789","94,781","32,987","45,939",0.33,0.58,0.28
0.24,"6,224","1,627",0.21,"332,013","88,557","34,614","44,312",0.33,0.56,0.27
0.25,"5,934","1,532",0.21,"337,947","82,623","36,146","42,780",0.34,0.54,0.25
0.26,"5,313","1,494",0.22,"343,260","77,310","37,640","41,286",0.35,0.52,0.24
0.27,"5,082","1,441",0.22,"348,342","72,228","39,081","39,845",0.36,0.50,0.22
0.28,"4,649","1,444",0.24,"352,991","67,579","40,525","38,401",0.36,0.49,0.21
0.29,"4,455","1,431",0.24,"357,446","63,124","41,956","36,970",0.37,0.47,0.20
0.3,"4,005","1,320",0.25,"361,451","59,119","43,276","35,650",0.38,0.45,0.19
0.31,"3,745","1,261",0.25,"365,196","55,374","44,537","34,389",0.38,0.44,0.18
0.32,"3,540","1,235",0.26,"368,736","51,834","45,772","33,154",0.39,0.42,0.17
0.33,"3,228","1,202",0.27,"371,964","48,606","46,974","31,952",0.40,0.40,0.16
0.34,"3,086","1,187",0.28,"375,050","45,520","48,161","30,765",0.40,0.39,0.15
0.35,"2,973","1,146",0.28,"378,023","42,547","49,307","29,619",0.41,0.38,0.14
0.36,"2,656","1,145",0.30,"380,679","39,891","50,452","28,474",0.42,0.36,0.14
0.37,"2,564","1,050",0.29,"383,243","37,327","51,502","27,424",0.42,0.35,0.13
0.38,"2,411",971,0.29,"385,654","34,916","52,473","26,453",0.43,0.34,0.12
0.39,"2,059","1,050",0.34,"387,713","32,857","53,523","25,403",0.44,0.32,0.12
0.4,"2,055","1,005",0.33,"389,768","30,802","54,528","24,398",0.44,0.31,0.11
0.41,"1,856",931,0.33,"391,624","28,946","55,459","23,467",0.45,0.30,0.10
0.42,"1,823",872,0.32,"393,447","27,123","56,331","22,595",0.45,0.29,0.10
0.43,"1,619",887,0.35,"395,066","25,504","57,218","21,708",0.46,0.28,0.09
0.44,"1,604",806,0.33,"396,670","23,900","58,024","20,902",0.47,0.26,0.09
0.45,"1,402",827,0.37,"398,072","22,498","58,851","20,075",0.47,0.25,0.09
0.46,"1,369",775,0.36,"399,441","21,129","59,626","19,300",0.48,0.24,0.08
0.47,"1,267",828,0.40,"400,708","19,862","60,454","18,472",0.48,0.23,0.08
0.48,"1,201",780,0.39,"401,909","18,661","61,234","17,692",0.49,0.22,0.07
0.49,"1,171",717,0.38,"403,080","17,490","61,951","16,975",0.49,0.22,0.07
0.5,"1,047",705,0.40,"404,127","16,443","62,656","16,270",0.50,0.21,0.07
0.51,"1,047",747,0.42,"405,174","15,396","63,403","15,523",0.50,0.20,0.06
0.52,954,688,0.42,"406,128","14,442","64,091","14,835",0.51,0.19,0.06
0.53,892,647,0.42,"407,020","13,550","64,738","14,188",0.51,0.18,0.06
0.54,828,620,0.43,"407,848","12,722","65,358","13,568",0.52,0.17,0.05
0.55,754,639,0.46,"408,602","11,968","65,997","12,929",0.52,0.16,0.05
0.56,767,537,0.41,"409,369","11,201","66,534","12,392",0.53,0.16,0.05
0.57,712,544,0.43,"410,081","10,489","67,078","11,848",0.53,0.15,0.04
0.58,668,577,0.46,"410,749","9,821","67,655","11,271",0.53,0.14,0.04
0.59,614,520,0.46,"411,363","9,207","68,175","10,751",0.54,0.14,0.04
0.6,571,512,0.47,"411,934","8,636","68,687","10,239",0.54,0.13,0.04
0.61,546,464,0.46,"412,480","8,090","69,151","9,775",0.55,0.12,0.04
0.62,530,472,0.47,"413,010","7,560","69,623","9,303",0.55,0.12,0.03
0.63,507,441,0.47,"413,517","7,053","70,064","8,862",0.56,0.11,0.03
0.64,425,427,0.50,"413,942","6,628","70,491","8,435",0.56,0.11,0.03
0.65,437,429,0.50,"414,379","6,191","70,920","8,006",0.56,0.10,0.03
0.66,427,421,0.50,"414,806","5,764","71,341","7,585",0.57,0.10,0.03
0.67,383,389,0.50,"415,189","5,381","71,730","7,196",0.57,0.09,0.03
0.68,384,330,0.46,"415,573","4,997","72,060","6,866",0.58,0.09,0.02
0.69,321,328,0.51,"415,894","4,676","72,388","6,538",0.58,0.08,0.02
0.7,323,371,0.53,"416,217","4,353","72,759","6,167",0.59,0.08,0.02
0.71,290,335,0.54,"416,507","4,063","73,094","5,832",0.59,0.07,0.02
0.72,269,307,0.53,"416,776","3,794","73,401","5,525",0.59,0.07,0.02
0.73,261,278,0.52,"417,037","3,533","73,679","5,247",0.60,0.07,0.02
0.74,265,298,0.53,"417,302","3,268","73,977","4,949",0.60,0.06,0.02
0.75,212,260,0.55,"417,514","3,056","74,237","4,689",0.61,0.06,0.02
0.76,223,255,0.53,"417,737","2,833","74,492","4,434",0.61,0.06,0.01
0.77,211,219,0.51,"417,948","2,622","74,711","4,215",0.62,0.05,0.01
0.78,189,272,0.59,"418,137","2,433","74,983","3,943",0.62,0.05,0.01
0.79,177,237,0.57,"418,314","2,256","75,220","3,706",0.62,0.05,0.01
0.8,176,223,0.56,"418,490","2,080","75,443","3,483",0.63,0.04,0.01
0.81,184,181,0.50,"418,674","1,896","75,624","3,302",0.64,0.04,0.01
0.82,137,194,0.59,"418,811","1,759","75,818","3,108",0.64,0.04,0.01
0.83,149,193,0.56,"418,960","1,610","76,011","2,915",0.64,0.04,0.01
0.84,134,160,0.54,"419,094","1,476","76,171","2,755",0.65,0.03,0.01
0.85,120,160,0.57,"419,214","1,356","76,331","2,595",0.66,0.03,0.01
0.86,99,169,0.63,"419,313","1,257","76,500","2,426",0.66,0.03,0.01
0.87,97,152,0.61,"419,410","1,160","76,652","2,274",0.66,0.03,0.01
0.88,97,141,0.59,"419,507","1,063","76,793","2,133",0.67,0.03,0.01
0.89,92,140,0.60,"419,599",971,"76,933","1,993",0.67,0.03,0.01
0.9,97,136,0.58,"419,696",874,"77,069","1,857",0.68,0.02,0.01
0.91,74,109,0.60,"419,770",800,"77,178","1,748",0.69,0.02,0.01
0.92,69,117,0.63,"419,839",731,"77,295","1,631",0.69,0.02,0.00
0.93,68,111,0.62,"419,907",663,"77,406","1,520",0.70,0.02,0.00
0.94,64,103,0.62,"419,971",599,"77,509","1,417",0.70,0.02,0.00
0.95,64,119,0.65,"420,035",535,"77,628","1,298",0.71,0.02,0.00
0.96,68,116,0.63,"420,103",467,"77,744","1,182",0.72,0.01,0.00
0.97,47,116,0.71,"420,150",420,"77,860","1,066",0.72,0.01,0.00
0.98,54,73,0.57,"420,204",366,"77,933",993,0.73,0.01,0.00
0.99,52,98,0.65,"420,256",314,"78,031",895,0.74,0.01,0.00
1.0,314,895,0.74,"420,570",0,"78,926",0,nan,0.00,0.00
