p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}$
0.0,727,12,0.02,727,"419,843",12,"78,914",0.16,1.00,1.00
0.01,"1,959",64,0.03,"2,686","417,884",76,"78,850",0.16,1.00,0.99
0.02,"4,445",148,0.03,"7,131","413,439",224,"78,702",0.16,1.00,0.99
0.03,"7,528",294,0.04,"14,659","405,911",518,"78,408",0.16,0.99,0.97
0.04,"9,957",423,0.04,"24,616","395,954",941,"77,985",0.16,0.99,0.95
0.05,"11,455",595,0.05,"36,071","384,499","1,536","77,390",0.17,0.98,0.92
0.06,"12,224",676,0.05,"48,295","372,275","2,212","76,714",0.17,0.97,0.90
0.07,"12,566",790,0.06,"60,861","359,709","3,002","75,924",0.17,0.96,0.87
0.08,"13,390",850,0.06,"74,251","346,319","3,852","75,074",0.18,0.95,0.84
0.09,"13,717","1,068",0.07,"87,968","332,602","4,920","74,006",0.18,0.94,0.81
0.1,"13,665","1,161",0.08,"101,633","318,937","6,081","72,845",0.19,0.92,0.78
0.11,"13,715","1,190",0.08,"115,348","305,222","7,271","71,655",0.19,0.91,0.75
0.12,"14,175","1,324",0.09,"129,523","291,047","8,595","70,331",0.19,0.89,0.72
0.13,"13,994","1,498",0.10,"143,517","277,053","10,093","68,833",0.20,0.87,0.69
0.14,"13,953","1,479",0.10,"157,470","263,100","11,572","67,354",0.20,0.85,0.66
0.15,"13,911","1,560",0.10,"171,381","249,189","13,132","65,794",0.21,0.83,0.63
0.16,"13,684","1,687",0.11,"185,065","235,505","14,819","64,107",0.21,0.81,0.60
0.17,"13,379","1,762",0.12,"198,444","222,126","16,581","62,345",0.22,0.79,0.57
0.18,"12,986","1,844",0.12,"211,430","209,140","18,425","60,501",0.22,0.77,0.54
0.19,"12,811","1,854",0.13,"224,241","196,329","20,279","58,647",0.23,0.74,0.51
0.2,"12,135","1,935",0.14,"236,376","184,194","22,214","56,712",0.24,0.72,0.48
0.21,"11,857","1,810",0.13,"248,233","172,337","24,024","54,902",0.24,0.70,0.45
0.22,"10,807","1,904",0.15,"259,040","161,530","25,928","52,998",0.25,0.67,0.43
0.23,"10,515","1,822",0.15,"269,555","151,015","27,750","51,176",0.25,0.65,0.40
0.24,"9,608","1,773",0.16,"279,163","141,407","29,523","49,403",0.26,0.63,0.38
0.25,"9,338","1,818",0.16,"288,501","132,069","31,341","47,585",0.26,0.60,0.36
0.26,"8,711","1,720",0.16,"297,212","123,358","33,061","45,865",0.27,0.58,0.34
