p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}$
0.0,0,0,nan,0,"420,570",0,"78,926",0.16,1.00,1.00
0.1,155,2,0.01,155,"420,415",2,"78,924",0.16,1.00,1.00
0.2,"21,052",784,0.04,"21,207","399,363",786,"78,140",0.16,0.99,0.96
0.3,"67,462","4,132",0.06,"88,669","331,901","4,918","74,008",0.18,0.94,0.81
0.4,"92,772","9,371",0.09,"181,441","239,129","14,289","64,637",0.21,0.82,0.61
0.5,"98,999","15,393",0.13,"280,440","140,130","29,682","49,244",0.26,0.62,0.38
0.6,"74,047","17,339",0.19,"354,487","66,083","47,021","31,905",0.33,0.40,0.20
0.7,"39,728","13,881",0.26,"394,215","26,355","60,902","18,024",0.41,0.23,0.09
0.8,"17,502","9,800",0.36,"411,717","8,853","70,702","8,224",0.48,0.10,0.03
0.9,"8,261","7,458",0.47,"419,978",592,"78,160",766,0.56,0.01,0.00
1.0,592,766,0.56,"420,570",0,"78,926",0,nan,0.00,0.00
