p,Neg,Pos,Neg/Pos,TN,FP,FN,TP,FP/TP,Prec.,Rec.,$\hat{p}$
0.0,0,0,nan,0,"420,570",0,"78,926",5.33,0.16,1.00,1.00
0.01,0,0,nan,0,"420,570",0,"78,926",5.33,0.16,1.00,1.00
0.02,0,0,nan,0,"420,570",0,"78,926",5.33,0.16,1.00,1.00
0.03,6,1,6.00,6,"420,564",1,"78,925",5.33,0.16,1.00,1.00
0.04,143,1,143.00,149,"420,421",2,"78,924",5.33,0.16,1.00,1.00
0.05,623,14,44.50,772,"419,798",16,"78,910",5.32,0.16,1.00,1.00
0.06,"2,020",64,31.56,"2,792","417,778",80,"78,846",5.30,0.16,1.00,0.99
0.07,"4,447",145,30.67,"7,239","413,331",225,"78,701",5.25,0.16,1.00,0.99
0.08,"7,471",295,25.33,"14,710","405,860",520,"78,406",5.18,0.16,0.99,0.97
0.09,"9,866",425,23.21,"24,576","395,994",945,"77,981",5.08,0.16,0.99,0.95
0.1,"11,360",575,19.76,"35,936","384,634","1,520","77,406",4.97,0.17,0.98,0.93
0.11,"12,458",688,18.11,"48,394","372,176","2,208","76,718",4.85,0.17,0.97,0.90
0.12,"12,804",801,15.99,"61,198","359,372","3,009","75,917",4.73,0.17,0.96,0.87
0.13,"13,797",882,15.64,"74,995","345,575","3,891","75,035",4.61,0.18,0.95,0.84
0.14,"14,344","1,124",12.76,"89,339","331,231","5,015","73,911",4.48,0.18,0.94,0.81
0.15,"14,502","1,217",11.92,"103,841","316,729","6,232","72,694",4.36,0.19,0.92,0.78
0.16,"14,626","1,301",11.24,"118,467","302,103","7,533","71,393",4.23,0.19,0.90,0.75
0.17,"15,253","1,474",10.35,"133,720","286,850","9,007","69,919",4.10,0.20,0.89,0.71
0.18,"15,418","1,669",9.24,"149,138","271,432","10,676","68,250",3.98,0.20,0.86,0.68
0.19,"15,307","1,599",9.57,"164,445","256,125","12,275","66,651",3.84,0.21,0.84,0.65
0.2,"15,314","1,871",8.18,"179,759","240,811","14,146","64,780",3.72,0.21,0.82,0.61
0.21,"15,259","1,954",7.81,"195,018","225,552","16,100","62,826",3.59,0.22,0.80,0.58
0.22,"14,867","2,075",7.16,"209,885","210,685","18,175","60,751",3.47,0.22,0.77,0.54
0.23,"14,588","2,145",6.80,"224,473","196,097","20,320","58,606",3.35,0.23,0.74,0.51
0.24,"14,101","2,219",6.35,"238,574","181,996","22,539","56,387",3.23,0.24,0.71,0.48
0.25,"13,676","2,130",6.42,"252,250","168,320","24,669","54,257",3.10,0.24,0.69,0.45
0.26,"12,565","2,213",5.68,"264,815","155,755","26,882","52,044",2.99,0.25,0.66,0.42
0.27,"11,951","2,172",5.50,"276,766","143,804","29,054","49,872",2.88,0.26,0.63,0.39
0.28,"11,186","2,145",5.21,"287,952","132,618","31,199","47,727",2.78,0.26,0.60,0.36
0.29,"10,702","2,157",4.96,"298,654","121,916","33,356","45,570",2.68,0.27,0.58,0.34
0.3,"10,035","2,221",4.52,"308,689","111,881","35,577","43,349",2.58,0.28,0.55,0.31
0.31,"9,341","2,090",4.47,"318,030","102,540","37,667","41,259",2.49,0.29,0.52,0.29
0.32,"8,626","2,017",4.28,"326,656","93,914","39,684","39,242",2.39,0.29,0.50,0.27
0.33,"8,126","2,018",4.03,"334,782","85,788","41,702","37,224",2.30,0.30,0.47,0.25
0.34,"7,259","1,822",3.98,"342,041","78,529","43,524","35,402",2.22,0.31,0.45,0.23
0.35,"6,687","1,825",3.66,"348,728","71,842","45,349","33,577",2.14,0.32,0.43,0.21
0.36,"6,169","1,780",3.47,"354,897","65,673","47,129","31,797",2.07,0.33,0.40,0.20
0.37,"5,573","1,625",3.43,"360,470","60,100","48,754","30,172",1.99,0.33,0.38,0.18
0.38,"5,145","1,609",3.20,"365,615","54,955","50,363","28,563",1.92,0.34,0.36,0.17
0.39,"4,600","1,451",3.17,"370,215","50,355","51,814","27,112",1.86,0.35,0.34,0.16
0.4,"4,354","1,449",3.00,"374,569","46,001","53,263","25,663",1.79,0.36,0.33,0.14
0.41,"3,936","1,397",2.82,"378,505","42,065","54,660","24,266",1.73,0.37,0.31,0.13
0.42,"3,700","1,284",2.88,"382,205","38,365","55,944","22,982",1.67,0.37,0.29,0.12
0.43,"3,231","1,237",2.61,"385,436","35,134","57,181","21,745",1.62,0.38,0.28,0.11
0.44,"2,958","1,137",2.60,"388,394","32,176","58,318","20,608",1.56,0.39,0.26,0.11
0.45,"2,518","1,068",2.36,"390,912","29,658","59,386","19,540",1.52,0.40,0.25,0.10
0.46,"2,343","1,080",2.17,"393,255","27,315","60,466","18,460",1.48,0.40,0.23,0.09
0.47,"2,210",952,2.32,"395,465","25,105","61,418","17,508",1.43,0.41,0.22,0.09
0.48,"1,912",916,2.09,"397,377","23,193","62,334","16,592",1.40,0.42,0.21,0.08
0.49,"1,827",902,2.03,"399,204","21,366","63,236","15,690",1.36,0.42,0.20,0.07
0.5,"1,653",847,1.95,"400,857","19,713","64,083","14,843",1.33,0.43,0.19,0.07
0.51,"1,559",787,1.98,"402,416","18,154","64,870","14,056",1.29,0.44,0.18,0.06
0.52,"1,395",747,1.87,"403,811","16,759","65,617","13,309",1.26,0.44,0.17,0.06
0.53,"1,304",730,1.79,"405,115","15,455","66,347","12,579",1.23,0.45,0.16,0.06
0.54,"1,185",726,1.63,"406,300","14,270","67,073","11,853",1.20,0.45,0.15,0.05
0.55,"1,070",686,1.56,"407,370","13,200","67,759","11,167",1.18,0.46,0.14,0.05
0.56,"1,129",658,1.72,"408,499","12,071","68,417","10,509",1.15,0.47,0.13,0.05
0.57,979,606,1.62,"409,478","11,092","69,023","9,903",1.12,0.47,0.13,0.04
0.58,917,631,1.45,"410,395","10,175","69,654","9,272",1.10,0.48,0.12,0.04
0.59,845,639,1.32,"411,240","9,330","70,293","8,633",1.08,0.48,0.11,0.04
0.6,814,587,1.39,"412,054","8,516","70,880","8,046",1.06,0.49,0.10,0.03
0.61,757,541,1.40,"412,811","7,759","71,421","7,505",1.03,0.49,0.10,0.03
0.62,799,554,1.44,"413,610","6,960","71,975","6,951",1.00,0.50,0.09,0.03
0.63,714,550,1.30,"414,324","6,246","72,525","6,401",0.98,0.51,0.08,0.03
0.64,642,590,1.09,"414,966","5,604","73,115","5,811",0.96,0.51,0.07,0.02
0.65,563,500,1.13,"415,529","5,041","73,615","5,311",0.95,0.51,0.07,0.02
0.66,609,533,1.14,"416,138","4,432","74,148","4,778",0.93,0.52,0.06,0.02
0.67,528,469,1.13,"416,666","3,904","74,617","4,309",0.91,0.52,0.05,0.02
0.68,540,508,1.06,"417,206","3,364","75,125","3,801",0.89,0.53,0.05,0.01
0.69,482,495,0.97,"417,688","2,882","75,620","3,306",0.87,0.53,0.04,0.01
0.7,456,433,1.05,"418,144","2,426","76,053","2,873",0.84,0.54,0.04,0.01
0.71,394,433,0.91,"418,538","2,032","76,486","2,440",0.83,0.55,0.03,0.01
0.72,326,356,0.92,"418,864","1,706","76,842","2,084",0.82,0.55,0.03,0.01
0.73,314,351,0.89,"419,178","1,392","77,193","1,733",0.80,0.55,0.02,0.01
0.74,246,292,0.84,"419,424","1,146","77,485","1,441",0.80,0.56,0.02,0.01
0.75,227,265,0.86,"419,651",919,"77,750","1,176",0.78,0.56,0.01,0.00
0.76,225,248,0.91,"419,876",694,"77,998",928,0.75,0.57,0.01,0.00
0.77,150,207,0.72,"420,026",544,"78,205",721,0.75,0.57,0.01,0.00
0.78,140,169,0.83,"420,166",404,"78,374",552,0.73,0.58,0.01,0.00
0.79,130,139,0.94,"420,296",274,"78,513",413,0.66,0.60,0.01,0.00
0.8,89,121,0.74,"420,385",185,"78,634",292,0.63,0.61,0.00,0.00
0.81,58,92,0.63,"420,443",127,"78,726",200,0.64,0.61,0.00,0.00
0.82,35,62,0.56,"420,478",92,"78,788",138,0.67,0.60,0.00,0.00
0.83,34,42,0.81,"420,512",58,"78,830",96,0.60,0.62,0.00,0.00
0.84,15,39,0.38,"420,527",43,"78,869",57,0.75,0.57,0.00,0.00
0.85,24,23,1.04,"420,551",19,"78,892",34,0.56,0.64,0.00,0.00
0.86,11,17,0.65,"420,562",8,"78,909",17,0.47,0.68,0.00,0.00
0.87,6,9,0.67,"420,568",2,"78,918",8,0.25,0.80,0.00,0.00
0.88,1,6,0.17,"420,569",1,"78,924",2,0.50,0.67,0.00,0.00
0.89,1,1,1.00,"420,570",0,"78,925",1,0.00,1.00,0.00,0.00
0.9,0,0,nan,"420,570",0,"78,925",1,0.00,1.00,0.00,0.00
0.91,0,0,nan,"420,570",0,"78,925",1,0.00,1.00,0.00,0.00
0.92,0,1,0.00,"420,570",0,"78,926",0,nan,nan,0.00,0.00
0.93,0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
0.94,0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
0.95,0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
0.96,0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
