p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}$
0.0,0,0,nan,0,"420,570",0,"78,926",0.16,1.00,1.00
0.01,0,0,nan,0,"420,570",0,"78,926",0.16,1.00,1.00
0.02,0,0,nan,0,"420,570",0,"78,926",0.16,1.00,1.00
0.03,0,0,nan,0,"420,570",0,"78,926",0.16,1.00,1.00
0.04,0,0,nan,0,"420,570",0,"78,926",0.16,1.00,1.00
0.05,0,0,nan,0,"420,570",0,"78,926",0.16,1.00,1.00
0.06,0,0,nan,0,"420,570",0,"78,926",0.16,1.00,1.00
0.07,0,0,nan,0,"420,570",0,"78,926",0.16,1.00,1.00
0.08,0,0,nan,0,"420,570",0,"78,926",0.16,1.00,1.00
0.09,0,0,nan,0,"420,570",0,"78,926",0.16,1.00,1.00
0.1,0,0,nan,0,"420,570",0,"78,926",0.16,1.00,1.00
0.11,0,0,nan,0,"420,570",0,"78,926",0.16,1.00,1.00
0.12,0,0,nan,0,"420,570",0,"78,926",0.16,1.00,1.00
0.13,0,0,nan,0,"420,570",0,"78,926",0.16,1.00,1.00
0.14,4,0,0.00,4,"420,566",0,"78,926",0.16,1.00,1.00
0.15,10,0,0.00,14,"420,556",0,"78,926",0.16,1.00,1.00
0.16,11,0,0.00,25,"420,545",0,"78,926",0.16,1.00,1.00
0.17,8,0,0.00,33,"420,537",0,"78,926",0.16,1.00,1.00
0.18,15,0,0.00,48,"420,522",0,"78,926",0.16,1.00,1.00
0.19,15,0,0.00,63,"420,507",0,"78,926",0.16,1.00,1.00
0.2,38,0,0.00,101,"420,469",0,"78,926",0.16,1.00,1.00
0.21,39,0,0.00,140,"420,430",0,"78,926",0.16,1.00,1.00
0.22,217,4,0.02,357,"420,213",4,"78,922",0.16,1.00,1.00
0.23,87,0,0.00,444,"420,126",4,"78,922",0.16,1.00,1.00
0.24,419,6,0.01,863,"419,707",10,"78,916",0.16,1.00,1.00
0.25,460,9,0.02,"1,323","419,247",19,"78,907",0.16,1.00,1.00
0.26,477,13,0.03,"1,800","418,770",32,"78,894",0.16,1.00,1.00
0.27,986,32,0.03,"2,786","417,784",64,"78,862",0.16,1.00,0.99
0.28,"1,020",28,0.03,"3,806","416,764",92,"78,834",0.16,1.00,0.99
0.29,"2,738",93,0.03,"6,544","414,026",185,"78,741",0.16,1.00,0.99
0.3,"1,878",78,0.04,"8,422","412,148",263,"78,663",0.16,1.00,0.98
0.31,"3,882",153,0.04,"12,304","408,266",416,"78,510",0.16,0.99,0.97
0.32,"6,375",316,0.05,"18,679","401,891",732,"78,194",0.16,0.99,0.96
0.33,"4,620",215,0.04,"23,299","397,271",947,"77,979",0.16,0.99,0.95
0.34,"7,071",391,0.05,"30,370","390,200","1,338","77,588",0.17,0.98,0.94
0.35,"6,895",402,0.06,"37,265","383,305","1,740","77,186",0.17,0.98,0.92
0.36,"8,838",589,0.06,"46,103","374,467","2,329","76,597",0.17,0.97,0.90
0.37,"7,956",485,0.06,"54,059","366,511","2,814","76,112",0.17,0.96,0.89
0.38,"8,285",573,0.06,"62,344","358,226","3,387","75,539",0.17,0.96,0.87
0.39,"7,672",573,0.07,"70,016","350,554","3,960","74,966",0.18,0.95,0.85
0.4,"7,649",624,0.08,"77,665","342,905","4,584","74,342",0.18,0.94,0.84
0.41,"6,119",533,0.08,"83,784","336,786","5,117","73,809",0.18,0.94,0.82
0.42,"8,083",773,0.09,"91,867","328,703","5,890","73,036",0.18,0.93,0.80
0.43,"8,632",888,0.09,"100,499","320,071","6,778","72,148",0.18,0.91,0.79
0.44,"10,288","1,124",0.10,"110,787","309,783","7,902","71,024",0.19,0.90,0.76
0.45,"11,203","1,195",0.10,"121,990","298,580","9,097","69,829",0.19,0.88,0.74
0.46,"14,256","1,621",0.10,"136,246","284,324","10,718","68,208",0.19,0.86,0.71
0.47,"15,525","1,912",0.11,"151,771","268,799","12,630","66,296",0.20,0.84,0.67
0.48,"18,079","2,472",0.12,"169,850","250,720","15,102","63,824",0.20,0.81,0.63
0.49,"19,614","2,822",0.13,"189,464","231,106","17,924","61,002",0.21,0.77,0.58
0.5,"19,493","2,908",0.13,"208,957","211,613","20,832","58,094",0.22,0.74,0.54
0.51,"18,034","2,909",0.14,"226,991","193,579","23,741","55,185",0.22,0.70,0.50
0.52,"20,369","3,586",0.15,"247,360","173,210","27,327","51,599",0.23,0.65,0.45
0.53,"18,185","3,481",0.16,"265,545","155,025","30,808","48,118",0.24,0.61,0.41
0.54,"14,841","2,982",0.17,"280,386","140,184","33,790","45,136",0.24,0.57,0.37
0.55,"13,262","2,858",0.18,"293,648","126,922","36,648","42,278",0.25,0.54,0.34
0.56,"13,554","2,891",0.18,"307,202","113,368","39,539","39,387",0.26,0.50,0.31
0.57,"12,336","3,001",0.20,"319,538","101,032","42,540","36,386",0.26,0.46,0.28
0.58,"10,230","2,622",0.20,"329,768","90,802","45,162","33,764",0.27,0.43,0.25
0.59,"11,053","2,819",0.20,"340,821","79,749","47,981","30,945",0.28,0.39,0.22
0.6,"10,758","3,070",0.22,"351,579","68,991","51,051","27,875",0.29,0.35,0.19
0.61,"8,774","2,823",0.24,"360,353","60,217","53,874","25,052",0.29,0.32,0.17
0.62,"7,854","2,553",0.25,"368,207","52,363","56,427","22,499",0.30,0.29,0.15
0.63,"8,007","2,682",0.25,"376,214","44,356","59,109","19,817",0.31,0.25,0.13
0.64,"8,883","3,045",0.26,"385,097","35,473","62,154","16,772",0.32,0.21,0.10
0.65,"7,277","2,745",0.27,"392,374","28,196","64,899","14,027",0.33,0.18,0.08
0.66,"6,369","2,634",0.29,"398,743","21,827","67,533","11,393",0.34,0.14,0.07
0.67,"5,695","2,459",0.30,"404,438","16,132","69,992","8,934",0.36,0.11,0.05
0.68,"4,061","1,874",0.32,"408,499","12,071","71,866","7,060",0.37,0.09,0.04
0.69,"3,696","1,932",0.34,"412,195","8,375","73,798","5,128",0.38,0.06,0.03
