p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}$
0.0,"3,245",145,0.04,"3,245","177,000",145,"33,680",0.16,1.00,0.98
0.05,"3,644",194,0.05,"6,889","173,356",339,"33,486",0.16,0.99,0.97
0.1,"5,465",312,0.05,"12,354","167,891",651,"33,174",0.16,0.98,0.94
0.15,"7,170",419,0.06,"19,524","160,721","1,070","32,755",0.17,0.97,0.90
0.2,"7,288",533,0.07,"26,812","153,433","1,603","32,222",0.17,0.95,0.87
0.25,"6,961",539,0.07,"33,773","146,472","2,142","31,683",0.18,0.94,0.83
0.3,"6,986",704,0.09,"40,759","139,486","2,846","30,979",0.18,0.92,0.80
0.35,"9,188","1,030",0.10,"49,947","130,298","3,876","29,949",0.19,0.89,0.75
0.4,"12,922","1,541",0.11,"62,869","117,376","5,417","28,408",0.19,0.84,0.68
0.45,"17,259","2,524",0.13,"80,128","100,117","7,941","25,884",0.21,0.77,0.59
0.5,"17,183","2,734",0.14,"97,311","82,934","10,675","23,150",0.22,0.68,0.50
0.55,"17,570","3,289",0.16,"114,881","65,364","13,964","19,861",0.23,0.59,0.40
0.6,"12,691","2,555",0.17,"127,572","52,673","16,519","17,306",0.25,0.51,0.33
0.65,"11,262","2,722",0.19,"138,834","41,411","19,241","14,584",0.26,0.43,0.26
0.7,"9,788","2,640",0.21,"148,622","31,623","21,881","11,944",0.27,0.35,0.20
0.75,"8,188","2,517",0.24,"156,810","23,435","24,398","9,427",0.29,0.28,0.15
0.8,"7,550","2,452",0.25,"164,360","15,885","26,850","6,975",0.31,0.21,0.11
0.85,"6,492","2,445",0.27,"170,852","9,393","29,295","4,530",0.33,0.13,0.07
0.9,"4,486","1,904",0.30,"175,338","4,907","31,199","2,626",0.35,0.08,0.04
0.95,"2,786","1,406",0.34,"178,124","2,121","32,605","1,220",0.37,0.04,0.02
1.0,"2,121","1,220",0.37,"180,245",0,"33,825",0,nan,0.00,0.00
