p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}$
0.0,0,0,nan,0,"180,245",0,"33,825",0.16,1.00,1.00
0.01,126,0,0.00,126,"180,119",0,"33,825",0.16,1.00,1.00
0.02,238,1,0.00,364,"179,881",1,"33,824",0.16,1.00,1.00
0.03,376,4,0.01,740,"179,505",5,"33,820",0.16,1.00,1.00
0.04,519,1,0.00,"1,259","178,986",6,"33,819",0.16,1.00,0.99
0.05,778,2,0.00,"2,037","178,208",8,"33,817",0.16,1.00,0.99
0.06,992,7,0.01,"3,029","177,216",15,"33,810",0.16,1.00,0.99
0.07,"1,193",10,0.01,"4,222","176,023",25,"33,800",0.16,1.00,0.98
0.08,"1,339",15,0.01,"5,561","174,684",40,"33,785",0.16,1.00,0.97
0.09,"1,469",13,0.01,"7,030","173,215",53,"33,772",0.16,1.00,0.97
0.1,"1,657",25,0.01,"8,687","171,558",78,"33,747",0.16,1.00,0.96
0.11,"1,768",25,0.01,"10,455","169,790",103,"33,722",0.17,1.00,0.95
0.12,"1,946",36,0.02,"12,401","167,844",139,"33,686",0.17,1.00,0.94
0.13,"2,168",36,0.02,"14,569","165,676",175,"33,650",0.17,0.99,0.93
0.14,"2,301",52,0.02,"16,870","163,375",227,"33,598",0.17,0.99,0.92
0.15,"2,416",51,0.02,"19,286","160,959",278,"33,547",0.17,0.99,0.91
0.16,"2,507",61,0.02,"21,793","158,452",339,"33,486",0.17,0.99,0.90
0.17,"2,597",79,0.03,"24,390","155,855",418,"33,407",0.18,0.99,0.88
0.18,"2,667",86,0.03,"27,057","153,188",504,"33,321",0.18,0.99,0.87
0.19,"2,820",102,0.03,"29,877","150,368",606,"33,219",0.18,0.98,0.86
0.2,"2,916",96,0.03,"32,793","147,452",702,"33,123",0.18,0.98,0.84
0.21,"3,003",113,0.04,"35,796","144,449",815,"33,010",0.19,0.98,0.83
0.22,"3,008",125,0.04,"38,804","141,441",940,"32,885",0.19,0.97,0.81
0.23,"3,088",147,0.05,"41,892","138,353","1,087","32,738",0.19,0.97,0.80
0.24,"3,198",155,0.05,"45,090","135,155","1,242","32,583",0.19,0.96,0.78
0.25,"3,268",155,0.05,"48,358","131,887","1,397","32,428",0.20,0.96,0.77
0.26,"3,244",196,0.06,"51,602","128,643","1,593","32,232",0.20,0.95,0.75
0.27,"3,295",192,0.06,"54,897","125,348","1,785","32,040",0.20,0.95,0.74
0.28,"3,371",210,0.06,"58,268","121,977","1,995","31,830",0.21,0.94,0.72
0.29,"3,462",225,0.06,"61,730","118,515","2,220","31,605",0.21,0.93,0.70
0.3,"3,437",277,0.07,"65,167","115,078","2,497","31,328",0.21,0.93,0.68
0.31,"3,548",242,0.06,"68,715","111,530","2,739","31,086",0.22,0.92,0.67
0.32,"3,393",290,0.08,"72,108","108,137","3,029","30,796",0.22,0.91,0.65
0.33,"3,564",316,0.08,"75,672","104,573","3,345","30,480",0.23,0.90,0.63
0.34,"3,616",338,0.09,"79,288","100,957","3,683","30,142",0.23,0.89,0.61
0.35,"3,546",338,0.09,"82,834","97,411","4,021","29,804",0.23,0.88,0.59
0.36,"3,590",334,0.09,"86,424","93,821","4,355","29,470",0.24,0.87,0.58
0.37,"3,547",384,0.10,"89,971","90,274","4,739","29,086",0.24,0.86,0.56
0.38,"3,501",419,0.11,"93,472","86,773","5,158","28,667",0.25,0.85,0.54
0.39,"3,478",400,0.10,"96,950","83,295","5,558","28,267",0.25,0.84,0.52
0.4,"3,501",398,0.10,"100,451","79,794","5,956","27,869",0.26,0.82,0.50
0.41,"3,429",443,0.11,"103,880","76,365","6,399","27,426",0.26,0.81,0.48
0.42,"3,444",472,0.12,"107,324","72,921","6,871","26,954",0.27,0.80,0.47
0.43,"3,335",514,0.13,"110,659","69,586","7,385","26,440",0.28,0.78,0.45
0.44,"3,272",511,0.14,"113,931","66,314","7,896","25,929",0.28,0.77,0.43
0.45,"3,259",527,0.14,"117,190","63,055","8,423","25,402",0.29,0.75,0.41
0.46,"3,150",555,0.15,"120,340","59,905","8,978","24,847",0.29,0.73,0.40
0.47,"3,195",569,0.15,"123,535","56,710","9,547","24,278",0.30,0.72,0.38
0.48,"3,098",574,0.16,"126,633","53,612","10,121","23,704",0.31,0.70,0.36
0.49,"3,004",597,0.17,"129,637","50,608","10,718","23,107",0.31,0.68,0.34
0.5,"2,973",598,0.17,"132,610","47,635","11,316","22,509",0.32,0.67,0.33
0.51,"2,935",643,0.18,"135,545","44,700","11,959","21,866",0.33,0.65,0.31
