p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}$
0.0,"10,515",179,0.02,"10,515","410,055",179,"78,747",0.16,1.00,0.98
0.1,"51,755","2,096",0.04,"62,270","358,300","2,275","76,651",0.18,0.97,0.87
0.2,"87,241","6,559",0.07,"149,511","271,059","8,834","70,092",0.21,0.89,0.68
0.3,"92,829","11,040",0.11,"242,340","178,230","19,874","59,052",0.25,0.75,0.48
0.4,"72,362","13,421",0.16,"314,702","105,868","33,295","45,631",0.30,0.58,0.30
0.5,"46,894","12,385",0.21,"361,596","58,974","45,680","33,246",0.36,0.42,0.18
0.6,"28,159","10,381",0.27,"389,755","30,815","56,061","22,865",0.43,0.29,0.11
0.7,"15,156","7,814",0.34,"404,911","15,659","63,875","15,051",0.49,0.19,0.06
0.8,"8,317","6,131",0.42,"413,228","7,342","70,006","8,920",0.55,0.11,0.03
0.9,"4,435","4,242",0.49,"417,663","2,907","74,248","4,678",0.62,0.06,0.02
1.0,"2,907","4,678",0.62,"420,570",0,"78,926",0,nan,0.00,0.00
