p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}$
0.0,0,0,nan,0,"420,570",0,"78,926",0.16,1.00,1.00
0.1,273,1,0.00,273,"420,297",1,"78,925",0.16,1.00,1.00
0.2,"10,324",131,0.01,"10,597","409,973",132,"78,794",0.16,1.00,0.98
0.3,"53,782","2,034",0.04,"64,379","356,191","2,166","76,760",0.18,0.97,0.87
0.4,"113,408","9,187",0.07,"177,787","242,783","11,353","67,573",0.22,0.86,0.62
0.5,"124,393","19,210",0.13,"302,180","118,390","30,563","48,363",0.29,0.61,0.33
0.6,"78,456","22,048",0.22,"380,636","39,934","52,611","26,315",0.40,0.33,0.13
0.7,"30,978","16,577",0.35,"411,614","8,956","69,188","9,738",0.52,0.12,0.04
0.8,"8,582","8,919",0.51,"420,196",374,"78,107",819,0.69,0.01,0.00
0.9,370,782,0.68,"420,566",4,"78,889",37,0.90,0.00,0.00
1.0,4,37,0.90,"420,570",0,"78,926",0,nan,0.00,0.00
