p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}$
0.0,1,0,0.00,1,"420,569",0,"78,926",0.16,1.00,1.00
0.01,2,0,0.00,3,"420,567",0,"78,926",0.16,1.00,1.00
0.02,11,0,0.00,14,"420,556",0,"78,926",0.16,1.00,1.00
0.03,15,0,0.00,29,"420,541",0,"78,926",0.16,1.00,1.00
0.04,32,0,0.00,61,"420,509",0,"78,926",0.16,1.00,1.00
0.05,56,0,0.00,117,"420,453",0,"78,926",0.16,1.00,1.00
0.06,70,0,0.00,187,"420,383",0,"78,926",0.16,1.00,1.00
0.07,103,1,0.01,290,"420,280",1,"78,925",0.16,1.00,1.00
0.08,219,2,0.01,509,"420,061",3,"78,923",0.16,1.00,1.00
0.09,280,1,0.00,789,"419,781",4,"78,922",0.16,1.00,1.00
0.1,343,1,0.00,"1,132","419,438",5,"78,921",0.16,1.00,1.00
0.11,544,7,0.01,"1,676","418,894",12,"78,914",0.16,1.00,1.00
0.12,697,7,0.01,"2,373","418,197",19,"78,907",0.16,1.00,1.00
0.13,881,8,0.01,"3,254","417,316",27,"78,899",0.16,1.00,0.99
0.14,"1,112",11,0.01,"4,366","416,204",38,"78,888",0.16,1.00,0.99
0.15,"1,385",17,0.01,"5,751","414,819",55,"78,871",0.16,1.00,0.99
0.16,"1,726",24,0.01,"7,477","413,093",79,"78,847",0.16,1.00,0.98
0.17,"2,070",33,0.02,"9,547","411,023",112,"78,814",0.16,1.00,0.98
0.18,"2,546",69,0.03,"12,093","408,477",181,"78,745",0.16,1.00,0.98
0.19,"2,855",56,0.02,"14,948","405,622",237,"78,689",0.16,1.00,0.97
0.2,"3,427",81,0.02,"18,375","402,195",318,"78,608",0.16,1.00,0.96
0.21,"3,724",101,0.03,"22,099","398,471",419,"78,507",0.16,0.99,0.95
0.22,"4,365",121,0.03,"26,464","394,106",540,"78,386",0.17,0.99,0.95
0.23,"4,999",189,0.04,"31,463","389,107",729,"78,197",0.17,0.99,0.94
0.24,"5,253",220,0.04,"36,716","383,854",949,"77,977",0.17,0.99,0.92
0.25,"6,039",204,0.03,"42,755","377,815","1,153","77,773",0.17,0.99,0.91
0.26,"6,519",275,0.04,"49,274","371,296","1,428","77,498",0.17,0.98,0.90
0.27,"7,136",336,0.04,"56,410","364,160","1,764","77,162",0.17,0.98,0.88
0.28,"7,558",376,0.05,"63,968","356,602","2,140","76,786",0.18,0.97,0.87
0.29,"8,193",468,0.05,"72,161","348,409","2,608","76,318",0.18,0.97,0.85
0.3,"8,539",540,0.06,"80,700","339,870","3,148","75,778",0.18,0.96,0.83
0.31,"9,439",556,0.06,"90,139","330,431","3,704","75,222",0.19,0.95,0.81
0.32,"10,046",646,0.06,"100,185","320,385","4,350","74,576",0.19,0.94,0.79
0.33,"10,382",776,0.07,"110,567","310,003","5,126","73,800",0.19,0.94,0.77
0.34,"11,035",830,0.07,"121,602","298,968","5,956","72,970",0.20,0.92,0.74
0.35,"11,507",931,0.07,"133,109","287,461","6,887","72,039",0.20,0.91,0.72
0.36,"11,955","1,127",0.09,"145,064","275,506","8,014","70,912",0.20,0.90,0.69
0.37,"11,950","1,128",0.09,"157,014","263,556","9,142","69,784",0.21,0.88,0.67
0.38,"12,566","1,295",0.09,"169,580","250,990","10,437","68,489",0.21,0.87,0.64
0.39,"12,357","1,344",0.10,"181,937","238,633","11,781","67,145",0.22,0.85,0.61
0.4,"12,451","1,451",0.10,"194,388","226,182","13,232","65,694",0.23,0.83,0.58
0.41,"12,614","1,576",0.11,"207,002","213,568","14,808","64,118",0.23,0.81,0.56
0.42,"12,430","1,644",0.12,"219,432","201,138","16,452","62,474",0.24,0.79,0.53
0.43,"12,347","1,768",0.13,"231,779","188,791","18,220","60,706",0.24,0.77,0.50
0.44,"12,114","1,827",0.13,"243,893","176,677","20,047","58,879",0.25,0.75,0.47
0.45,"11,932","1,882",0.14,"255,825","164,745","21,929","56,997",0.26,0.72,0.44
0.46,"11,594","1,849",0.14,"267,419","153,151","23,778","55,148",0.26,0.70,0.42
0.47,"11,361","2,093",0.16,"278,780","141,790","25,871","53,055",0.27,0.67,0.39
0.48,"10,707","2,038",0.16,"289,487","131,083","27,909","51,017",0.28,0.65,0.36
0.49,"10,147","2,115",0.17,"299,634","120,936","30,024","48,902",0.29,0.62,0.34
0.5,"9,854","2,107",0.18,"309,488","111,082","32,131","46,795",0.30,0.59,0.32
0.51,"9,477","2,128",0.18,"318,965","101,605","34,259","44,667",0.31,0.57,0.29
0.52,"9,087","2,197",0.19,"328,052","92,518","36,456","42,470",0.31,0.54,0.27
0.53,"8,520","2,138",0.20,"336,572","83,998","38,594","40,332",0.32,0.51,0.25
0.54,"7,885","2,091",0.21,"344,457","76,113","40,685","38,241",0.33,0.48,0.23
0.55,"7,544","2,220",0.23,"352,001","68,569","42,905","36,021",0.34,0.46,0.21
0.56,"6,800","2,097",0.24,"358,801","61,769","45,002","33,924",0.35,0.43,0.19
0.57,"6,302","2,113",0.25,"365,103","55,467","47,115","31,811",0.36,0.40,0.17
0.58,"5,809","2,054",0.26,"370,912","49,658","49,169","29,757",0.37,0.38,0.16
0.59,"5,471","1,879",0.26,"376,383","44,187","51,048","27,878",0.39,0.35,0.14
0.6,"4,950","1,865",0.27,"381,333","39,237","52,913","26,013",0.40,0.33,0.13
0.61,"4,431","1,789",0.29,"385,764","34,806","54,702","24,224",0.41,0.31,0.12
0.62,"4,066","1,865",0.31,"389,830","30,740","56,567","22,359",0.42,0.28,0.11
0.63,"3,720","1,766",0.32,"393,550","27,020","58,333","20,593",0.43,0.26,0.10
0.64,"3,245","1,673",0.34,"396,795","23,775","60,006","18,920",0.44,0.24,0.09
0.65,"3,014","1,584",0.34,"399,809","20,761","61,590","17,336",0.46,0.22,0.08
0.66,"2,767","1,513",0.35,"402,576","17,994","63,103","15,823",0.47,0.20,0.07
