p,Neg,Pos,Neg/Pos,TN,FP,FN,TP,FP/TP,Prec.,Rec.,$\hat{p}$
0.0,0,0,nan,0,"180,245",0,"33,825",5.33,0.16,1.00,1.00
0.01,0,0,nan,0,"180,245",0,"33,825",5.33,0.16,1.00,1.00
0.02,1,1,1.00,1,"180,244",1,"33,824",5.33,0.16,1.00,1.00
0.03,12,0,inf,13,"180,232",1,"33,824",5.33,0.16,1.00,1.00
0.04,29,0,inf,42,"180,203",1,"33,824",5.33,0.16,1.00,1.00
0.05,100,1,100.00,142,"180,103",2,"33,823",5.32,0.16,1.00,1.00
0.06,185,4,46.25,327,"179,918",6,"33,819",5.32,0.16,1.00,1.00
0.07,300,3,100.00,627,"179,618",9,"33,816",5.31,0.16,1.00,1.00
0.08,455,7,65.00,"1,082","179,163",16,"33,809",5.30,0.16,1.00,0.99
0.09,604,11,54.91,"1,686","178,559",27,"33,798",5.28,0.16,1.00,0.99
0.1,970,33,29.39,"2,656","177,589",60,"33,765",5.26,0.16,1.00,0.99
0.11,"1,097",21,52.24,"3,753","176,492",81,"33,744",5.23,0.16,1.00,0.98
0.12,"1,375",40,34.38,"5,128","175,117",121,"33,704",5.20,0.16,1.00,0.98
0.13,"1,863",67,27.81,"6,991","173,254",188,"33,637",5.15,0.16,0.99,0.97
0.14,"2,175",81,26.85,"9,166","171,079",269,"33,556",5.10,0.16,0.99,0.96
0.15,"2,747",107,25.67,"11,913","168,332",376,"33,449",5.03,0.17,0.99,0.94
0.16,"3,025",150,20.17,"14,938","165,307",526,"33,299",4.96,0.17,0.98,0.93
0.17,"3,525",175,20.14,"18,463","161,782",701,"33,124",4.88,0.17,0.98,0.91
0.18,"4,041",237,17.05,"22,504","157,741",938,"32,887",4.80,0.17,0.97,0.89
0.19,"4,419",252,17.54,"26,923","153,322","1,190","32,635",4.70,0.18,0.96,0.87
0.2,"4,791",309,15.50,"31,714","148,531","1,499","32,326",4.59,0.18,0.96,0.84
0.21,"5,427",400,13.57,"37,141","143,104","1,899","31,926",4.48,0.18,0.94,0.82
0.22,"5,781",485,11.92,"42,922","137,323","2,384","31,441",4.37,0.19,0.93,0.79
