p,Filename,Neg,Pos,$m$Prec,TN,FP,FN,TP,Prec,Rec,FP/P,$\hat{p}
0.5,BRFC_5_Fold_alpha_0_5_Hard_Test,9332,1759,0.15859706067983048,440704,160111,31700,81051,0.3360852870684436,0.7188495002261621,1.4200406204823017,0.3379673358876404
0.5,BRFC_5_Fold_alpha_0_5_Hard_Test_Transformed_100,9332,1759,0.15859706067983048,440704,160111,31700,81051,0.3360852870684436,0.7188495002261621,1.4200406204823017,0.3379673358876404
0.5,BRFC_5_Fold_alpha_0_5_Hard_Test_Transformed_98,8991,1715,0.16019054735662244,440957,159858,31750,81001,0.33630049115872773,0.7184060451792001,1.4177967379446745,0.33754270803261366
0.49,BRFC_5_Fold_alpha_0_5_Hard_Test_Transformed_95,9298,1756,0.15885652252578253,440710,160105,31700,81051,0.33609364892434773,0.7188495002261621,1.4199874058766664,0.3379589274152636
0.48,BRFC_5_Fold_alpha_balanced_Hard_Test,9174,1694,0.15587044534412955,440430,160385,31929,80822,0.33507319439319755,0.7168184761110766,1.4224707541396528,0.33803039943046614
0.48,BRFC_5_Fold_alpha_balanced_Hard_Test_Transformed_100,9174,1694,0.15587044534412955,440430,160385,31929,80822,0.33507319439319755,0.7168184761110766,1.4224707541396528,0.33803039943046614
0.48,BRFC_5_Fold_alpha_balanced_Hard_Test_Transformed_98,9150,1691,0.15598192048703993,440539,160276,31945,80806,0.33518056097095594,0.7166765704960488,1.421504022137276,0.3378552229226168
0.47,BRFC_5_Fold_alpha_balanced_Hard_Test_Transformed_95,9153,1692,0.15601659751037344,440435,160380,31930,80821,0.335077383592937,0.7168096070101374,1.4224264086349567,0.3380219909580894
0.2,LogReg_5_Fold_alpha_0_5_Hard_Test,11769,3081,0.20747474747474748,476822,123993,50082,62669,0.33573517909376305,0.555817686761093,1.0997064327589112,0.26159037846534167
0.21,LogReg_5_Fold_alpha_0_5_Hard_Test_Transformed_100,11154,2781,0.19956942949407966,472924,127891,49005,63746,0.3326393128675569,0.5653697084726521,1.13427818822006,0.2685624034777442
0.24,LogReg_5_Fold_alpha_0_5_Hard_Test_Transformed_98,8921,2324,0.2066696309470876,474501,126314,49439,63312,0.33387826563867823,0.561520518665023,1.120291616038882,0.2657441638194645
0.26,LogReg_5_Fold_alpha_0_5_Hard_Test_Transformed_95,8084,2033,0.2009488978946328,471900,128915,48728,64023,0.33183198747784265,0.567826449432821,1.1433601475818396,0.27038564057143977
0.57,LogReg_5_Fold_alpha_balanced_Hard_Test,7240,1828,0.2015880017644464,474744,126071,49342,63409,0.3346474561959046,0.562380821456129,1.1181364245106473,0.2655395576582965
0.57,LogReg_5_Fold_alpha_balanced_Hard_Test_Transformed_100,6952,1783,0.20412135088723526,475344,125471,49516,63235,0.3350979831059956,0.5608375978927016,1.1128149639471048,0.2644548647216936
0.56,LogReg_5_Fold_alpha_balanced_Hard_Test_Transformed_98,6275,1606,0.20378124603476716,472428,128387,48749,64002,0.3326697472308708,0.567640198313097,1.138677262285922,0.2696162653489656
0.56,LogReg_5_Fold_alpha_balanced_Hard_Test_Transformed_95,5960,1585,0.2100728959575878,469945,130870,48139,64612,0.3305265957991017,0.5730503498860321,1.1606992399180496,0.2739508328591889
0.49,AdaBoost_5_Fold_Hard_Test,10012,107,0.010574167407846625,10012,590803,107,112644,0.16013146690511154,0.9990510061995016,5.239891442204503,0.9858191113365827
0.5,AdaBoost_5_Fold_Hard_Test_Transformed_100,14814,3701,0.19989197947610046,472332,128483,49025,63726,0.3315453490731443,0.5651923264538674,1.1395286959760889,0.2693640111776626
0.51,AdaBoost_5_Fold_Hard_Test_Transformed_98,9980,2512,0.2010886967659302,471938,128877,48926,63825,0.3312108852009839,0.5660703674468519,1.1430231217461486,0.2700549073246203
0.53,AdaBoost_5_Fold_Hard_Test_Transformed_95,8463,2190,0.205575894114334,475225,125590,49777,62974,0.33396618654674276,0.5585227625475605,1.113870386958874,0.2642558642087768
0.48,BalBag_5_Fold_Hard_Test,122,25,0.17006802721088435,441276,159539,38191,74560,0.3184977295930354,0.6612801660295696,1.4149674947450577,0.328069162488123
0.48,BalBag_5_Fold_Hard_Test_Transformed_100,122,25,0.17006802721088435,441276,159539,38191,74560,0.3184977295930354,0.6612801660295696,1.4149674947450577,0.328069162488123
0.48,BalBag_5_Fold_Hard_Test_Transformed_98,122,25,0.17006802721088435,441276,159539,38191,74560,0.3184977295930354,0.6612801660295696,1.4149674947450577,0.328069162488123
0.48,BalBag_5_Fold_Hard_Test_Transformed_95,122,25,0.17006802721088435,441276,159539,38191,74560,0.3184977295930354,0.6612801660295696,1.4149674947450577,0.328069162488123
0.51,EEC_5_Fold_Hard_Test,89849,20514,0.1858775132970289,491083,109732,57821,54930,0.3335924499884612,0.4871797145923318,0.9732241842644411,0.2307593130838633
0.5,EEC_5_Fold_Hard_Test_Transformed_100,17927,5252,0.22658440830061694,493831,106984,58544,54207,0.3362904876823148,0.48076735461326287,0.9488518948834157,0.2258950118139037
0.54,EEC_5_Fold_Hard_Test_Transformed_98,14626,4168,0.22177290624667448,493592,107223,58472,54279,0.33608871716758926,0.481405929880888,0.9509716100078935,0.22633085096543276
0.57,EEC_5_Fold_Hard_Test_Transformed_95,12761,3776,0.22833645764044264,490177,110638,57575,55176,0.3327583919331299,0.4893615134233843,0.9812595897153905,0.23237373978020254
0.5,RUSBoost_5_Fold_Hard_Test,420678,37034,0.08091114062991575,420678,180137,37034,75717,0.2959383085666044,0.6715417158162678,1.5976532358914777,0.35855688191421675
0.52,RUSBoost_5_Fold_Hard_Test_Transformed_100,14882,3815,0.20404342942718084,474954,125861,49555,63196,0.3342695589160941,0.5604917029560713,1.1162739133134074,0.26494676035573445
0.51,RUSBoost_5_Fold_Hard_Test_Transformed_98,9825,2560,0.2067016552280985,474057,126758,49317,63434,0.33352612097249096,0.5626025489796099,1.1242294968559037,0.26653736304700615
0.53,RUSBoost_5_Fold_Hard_Test_Transformed_95,8377,2188,0.20709891150023663,476797,124018,50021,62730,0.33590721185769057,0.5563587019183865,1.0999281602823923,0.261710899902742
0.18,KBFC_5_Fold_alpha_0_5_gamma_0_0_Hard_Test,11749,2684,0.1859627243123398,459399,141416,40933,71818,0.33680369922245046,0.6369610912541795,1.2542327784232512,0.2988286997979164
0.18,KBFC_5_Fold_alpha_0_5_gamma_0_0_Hard_Test_Transformed_100,11722,2608,0.18199581297976272,456604,144211,40249,72502,0.33455307249680455,0.6430275562966182,1.2790219155484208,0.30370421236437833
0.2,KBFC_5_Fold_alpha_0_5_gamma_0_0_Hard_Test_Transformed_98,10259,2218,0.1777670914482648,451189,149626,39037,73714,0.3300528342437539,0.6537769066349745,1.3270480971343934,0.31299137010451733
0.21,KBFC_5_Fold_alpha_0_5_gamma_0_0_Hard_Test_Transformed_95,9532,2059,0.1776378224484514,450877,149938,38962,73789,0.3298171432147215,0.6544420892054172,1.3298152566274357,0.31353371657281875
0.54,KBFC_5_Fold_alpha_balanced_gamma_0_0_Hard_Test,6778,1470,0.1782250242483026,454763,146052,40020,72731,0.33243442132158346,0.6450585804117037,1.2953499303775575,0.3066051353343629
0.54,KBFC_5_Fold_alpha_balanced_gamma_0_0_Hard_Test_Transformed_100,6773,1443,0.17563291139240506,453381,147434,39684,73067,0.33136811170924396,0.6480385983272876,1.3076070278755842,0.3090127612582438
0.55,KBFC_5_Fold_alpha_balanced_gamma_0_0_Hard_Test_Transformed_98,6366,1403,0.1805895224610632,455855,144960,40280,72471,0.33330573837217325,0.6427526141675018,1.28566487215191,0.3047104262254648
0.55,KBFC_5_Fold_alpha_balanced_gamma_0_0_Hard_Test_Transformed_95,6182,1365,0.1808665694978137,455710,145105,40244,72507,0.33319394151057846,0.6430719018013143,1.2869508917880994,0.30496408180883056
0.3,KBFC_5_Fold_alpha_0_5_gamma_1_0_Hard_Test,15016,3279,0.17922929762230116,454479,146336,40022,72729,0.33199735238399564,0.6450408422098252,1.297868755044301,0.3070003335360709
0.3,KBFC_5_Fold_alpha_0_5_gamma_1_0_Hard_Test_Transformed_100,15021,3276,0.17904574520413183,454417,146398,40010,72741,0.33194000155152664,0.6451472714210961,1.2984186393025339,0.3071040380287177
