p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}$
0.0,"7,244",78,0.01,"7,244","413,326",78,"78,848",0.16,1.00,0.99
0.01,"1,216",23,0.02,"8,460","412,110",101,"78,825",0.16,1.00,0.98
0.02,"1,339",28,0.02,"9,799","410,771",129,"78,797",0.16,1.00,0.98
0.03,"1,512",32,0.02,"11,311","409,259",161,"78,765",0.16,1.00,0.98
0.04,"1,748",21,0.01,"13,059","407,511",182,"78,744",0.16,1.00,0.97
0.05,"1,949",38,0.02,"15,008","405,562",220,"78,706",0.16,1.00,0.97
0.06,"2,096",46,0.02,"17,104","403,466",266,"78,660",0.16,1.00,0.97
0.07,"2,315",45,0.02,"19,419","401,151",311,"78,615",0.16,1.00,0.96
0.08,"2,541",71,0.03,"21,960","398,610",382,"78,544",0.16,1.00,0.96
0.09,"2,822",66,0.02,"24,782","395,788",448,"78,478",0.17,0.99,0.95
0.1,"3,077",73,0.02,"27,859","392,711",521,"78,405",0.17,0.99,0.94
0.11,"3,354",78,0.02,"31,213","389,357",599,"78,327",0.17,0.99,0.94
0.12,"3,653",107,0.03,"34,866","385,704",706,"78,220",0.17,0.99,0.93
0.13,"3,901",120,0.03,"38,767","381,803",826,"78,100",0.17,0.99,0.92
0.14,"4,259",118,0.03,"43,026","377,544",944,"77,982",0.17,0.99,0.91
0.15,"4,544",148,0.03,"47,570","373,000","1,092","77,834",0.17,0.99,0.90
0.16,"4,735",183,0.04,"52,305","368,265","1,275","77,651",0.17,0.98,0.89
0.17,"5,065",189,0.04,"57,370","363,200","1,464","77,462",0.18,0.98,0.88
0.18,"5,337",198,0.04,"62,707","357,863","1,662","77,264",0.18,0.98,0.87
0.19,"5,608",228,0.04,"68,315","352,255","1,890","77,036",0.18,0.98,0.86
0.2,"5,954",268,0.04,"74,269","346,301","2,158","76,768",0.18,0.97,0.85
0.21,"6,050",278,0.04,"80,319","340,251","2,436","76,490",0.18,0.97,0.83
0.22,"6,558",335,0.05,"86,877","333,693","2,771","76,155",0.19,0.96,0.82
0.23,"6,768",323,0.05,"93,645","326,925","3,094","75,832",0.19,0.96,0.81
0.24,"7,048",424,0.06,"100,693","319,877","3,518","75,408",0.19,0.96,0.79
0.25,"7,314",419,0.05,"108,007","312,563","3,937","74,989",0.19,0.95,0.78
0.26,"7,574",487,0.06,"115,581","304,989","4,424","74,502",0.20,0.94,0.76
0.27,"7,861",505,0.06,"123,442","297,128","4,929","73,997",0.20,0.94,0.74
0.28,"8,125",524,0.06,"131,567","289,003","5,453","73,473",0.20,0.93,0.73
0.29,"8,356",587,0.07,"139,923","280,647","6,040","72,886",0.21,0.92,0.71
0.3,"8,507",608,0.07,"148,430","272,140","6,648","72,278",0.21,0.92,0.69
0.31,"8,653",708,0.08,"157,083","263,487","7,356","71,570",0.21,0.91,0.67
0.32,"8,766",766,0.08,"165,849","254,721","8,122","70,804",0.22,0.90,0.65
0.33,"9,027",826,0.08,"174,876","245,694","8,948","69,978",0.22,0.89,0.63
0.34,"8,946",875,0.09,"183,822","236,748","9,823","69,103",0.23,0.88,0.61
0.35,"9,193",949,0.09,"193,015","227,555","10,772","68,154",0.23,0.86,0.59
0.36,"8,898",975,0.10,"201,913","218,657","11,747","67,179",0.24,0.85,0.57
0.37,"9,095","1,063",0.10,"211,008","209,562","12,810","66,116",0.24,0.84,0.55
0.38,"9,039","1,163",0.11,"220,047","200,523","13,973","64,953",0.24,0.82,0.53
0.39,"8,781","1,137",0.11,"228,828","191,742","15,110","63,816",0.25,0.81,0.51
0.4,"8,894","1,225",0.12,"237,722","182,848","16,335","62,591",0.26,0.79,0.49
0.41,"8,791","1,284",0.13,"246,513","174,057","17,619","61,307",0.26,0.78,0.47
0.42,"8,521","1,309",0.13,"255,034","165,536","18,928","59,998",0.27,0.76,0.45
0.43,"8,334","1,285",0.13,"263,368","157,202","20,213","58,713",0.27,0.74,0.43
0.44,"8,270","1,410",0.15,"271,638","148,932","21,623","57,303",0.28,0.73,0.41
0.45,"8,192","1,379",0.14,"279,830","140,740","23,002","55,924",0.28,0.71,0.39
0.46,"8,034","1,494",0.16,"287,864","132,706","24,496","54,430",0.29,0.69,0.37
0.47,"7,700","1,478",0.16,"295,564","125,006","25,974","52,952",0.30,0.67,0.36
0.48,"7,359","1,607",0.18,"302,923","117,647","27,581","51,345",0.30,0.65,0.34
0.49,"7,209","1,576",0.18,"310,132","110,438","29,157","49,769",0.31,0.63,0.32
0.5,"6,911","1,617",0.19,"317,043","103,527","30,774","48,152",0.32,0.61,0.30
0.51,"6,704","1,578",0.19,"323,747","96,823","32,352","46,574",0.32,0.59,0.29
0.52,"6,276","1,586",0.20,"330,023","90,547","33,938","44,988",0.33,0.57,0.27
0.53,"6,033","1,636",0.21,"336,056","84,514","35,574","43,352",0.34,0.55,0.26
0.54,"5,829","1,642",0.22,"341,885","78,685","37,216","41,710",0.35,0.53,0.24
0.55,"5,504","1,631",0.23,"347,389","73,181","38,847","40,079",0.35,0.51,0.23
0.56,"5,180","1,618",0.24,"352,569","68,001","40,465","38,461",0.36,0.49,0.21
0.57,"4,923","1,626",0.25,"357,492","63,078","42,091","36,835",0.37,0.47,0.20
0.58,"4,656","1,575",0.25,"362,148","58,422","43,666","35,260",0.38,0.45,0.19
0.59,"4,339","1,524",0.26,"366,487","54,083","45,190","33,736",0.38,0.43,0.18
0.6,"4,272","1,599",0.27,"370,759","49,811","46,789","32,137",0.39,0.41,0.16
0.61,"3,782","1,470",0.28,"374,541","46,029","48,259","30,667",0.40,0.39,0.15
0.62,"3,755","1,496",0.28,"378,296","42,274","49,755","29,171",0.41,0.37,0.14
0.63,"3,361","1,449",0.30,"381,657","38,913","51,204","27,722",0.42,0.35,0.13
0.64,"3,188","1,417",0.31,"384,845","35,725","52,621","26,305",0.42,0.33,0.12
