p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}$
0.0,"4,206",368,0.08,"4,206","416,364",368,"78,558",0.16,1.00,0.99
0.01,832,78,0.09,"5,038","415,532",446,"78,480",0.16,0.99,0.99
0.02,967,79,0.08,"6,005","414,565",525,"78,401",0.16,0.99,0.99
0.03,"1,056",104,0.09,"7,061","413,509",629,"78,297",0.16,0.99,0.98
0.04,"1,160",126,0.10,"8,221","412,349",755,"78,171",0.16,0.99,0.98
0.05,"1,247",137,0.10,"9,468","411,102",892,"78,034",0.16,0.99,0.98
0.06,"1,437",153,0.10,"10,905","409,665","1,045","77,881",0.16,0.99,0.98
0.07,"1,589",150,0.09,"12,494","408,076","1,195","77,731",0.16,0.98,0.97
0.08,"1,685",181,0.10,"14,179","406,391","1,376","77,550",0.16,0.98,0.97
0.09,"1,814",228,0.11,"15,993","404,577","1,604","77,322",0.16,0.98,0.96
0.1,"1,982",258,0.12,"17,975","402,595","1,862","77,064",0.16,0.98,0.96
0.11,"2,100",252,0.11,"20,075","400,495","2,114","76,812",0.16,0.97,0.96
0.12,"2,250",273,0.11,"22,325","398,245","2,387","76,539",0.16,0.97,0.95
0.13,"2,366",323,0.12,"24,691","395,879","2,710","76,216",0.16,0.97,0.95
0.14,"2,523",349,0.12,"27,214","393,356","3,059","75,867",0.16,0.96,0.94
0.15,"2,711",331,0.11,"29,925","390,645","3,390","75,536",0.16,0.96,0.93
0.16,"2,781",360,0.11,"32,706","387,864","3,750","75,176",0.16,0.95,0.93
0.17,"2,974",415,0.12,"35,680","384,890","4,165","74,761",0.16,0.95,0.92
0.18,"3,046",484,0.14,"38,726","381,844","4,649","74,277",0.16,0.94,0.91
0.19,"3,234",436,0.12,"41,960","378,610","5,085","73,841",0.16,0.94,0.91
0.2,"3,623",500,0.12,"45,583","374,987","5,585","73,341",0.16,0.93,0.90
0.21,"4,047",488,0.11,"49,630","370,940","6,073","72,853",0.16,0.92,0.89
0.22,"4,186",582,0.12,"53,816","366,754","6,655","72,271",0.16,0.92,0.88
0.23,"4,463",646,0.13,"58,279","362,291","7,301","71,625",0.17,0.91,0.87
0.24,"4,820",695,0.13,"63,099","357,471","7,996","70,930",0.17,0.90,0.86
0.25,"5,336",739,0.12,"68,435","352,135","8,735","70,191",0.17,0.89,0.85
0.26,"6,328",784,0.11,"74,763","345,807","9,519","69,407",0.17,0.88,0.83
0.27,"7,005",902,0.11,"81,768","338,802","10,421","68,505",0.17,0.87,0.82
0.28,"7,535",937,0.11,"89,303","331,267","11,358","67,568",0.17,0.86,0.80
0.29,"7,807","1,008",0.11,"97,110","323,460","12,366","66,560",0.17,0.84,0.78
0.3,"8,048","1,118",0.12,"105,158","315,412","13,484","65,442",0.17,0.83,0.76
0.31,"8,922","1,233",0.12,"114,080","306,490","14,717","64,209",0.17,0.81,0.74
0.32,"9,746","1,282",0.12,"123,826","296,744","15,999","62,927",0.17,0.80,0.72
0.33,"10,537","1,496",0.12,"134,363","286,207","17,495","61,431",0.18,0.78,0.70
0.34,"11,177","1,567",0.12,"145,540","275,030","19,062","59,864",0.18,0.76,0.67
0.35,"11,314","1,709",0.13,"156,854","263,716","20,771","58,155",0.18,0.74,0.64
0.36,"11,454","1,736",0.13,"168,308","252,262","22,507","56,419",0.18,0.71,0.62
0.37,"11,445","1,809",0.14,"179,753","240,817","24,316","54,610",0.18,0.69,0.59
0.38,"11,521","1,778",0.13,"191,274","229,296","26,094","52,832",0.19,0.67,0.56
0.39,"11,662","1,883",0.14,"202,936","217,634","27,977","50,949",0.19,0.65,0.54
0.4,"12,336","1,965",0.14,"215,272","205,298","29,942","48,984",0.19,0.62,0.51
0.41,"12,464","1,926",0.13,"227,736","192,834","31,868","47,058",0.20,0.60,0.48
0.42,"11,771","1,845",0.14,"239,507","181,063","33,713","45,213",0.20,0.57,0.45
0.43,"11,208","1,819",0.14,"250,715","169,855","35,532","43,394",0.20,0.55,0.43
0.44,"11,070","1,886",0.15,"261,785","158,785","37,418","41,508",0.21,0.53,0.40
0.45,"11,261","1,898",0.14,"273,046","147,524","39,316","39,610",0.21,0.50,0.37
0.46,"11,099","1,952",0.15,"284,145","136,425","41,268","37,658",0.22,0.48,0.35
0.47,"10,571","1,910",0.15,"294,716","125,854","43,178","35,748",0.22,0.45,0.32
0.48,"9,655","1,845",0.16,"304,371","116,199","45,023","33,903",0.23,0.43,0.30
0.49,"8,676","1,753",0.17,"313,047","107,523","46,776","32,150",0.23,0.41,0.28
0.5,"8,061","1,723",0.18,"321,108","99,462","48,499","30,427",0.23,0.39,0.26
0.51,"7,552","1,770",0.19,"328,660","91,910","50,269","28,657",0.24,0.36,0.24
0.52,"6,800","1,642",0.19,"335,460","85,110","51,911","27,015",0.24,0.34,0.22
0.53,"6,121","1,460",0.19,"341,581","78,989","53,371","25,555",0.24,0.32,0.21
0.54,"5,216","1,360",0.21,"346,797","73,773","54,731","24,195",0.25,0.31,0.20
0.55,"4,724","1,295",0.22,"351,521","69,049","56,026","22,900",0.25,0.29,0.18
0.56,"4,047","1,172",0.22,"355,568","65,002","57,198","21,728",0.25,0.28,0.17
0.57,"4,081","1,063",0.21,"359,649","60,921","58,261","20,665",0.25,0.26,0.16
0.58,"3,754","1,105",0.23,"363,403","57,167","59,366","19,560",0.25,0.25,0.15
0.59,"3,536","1,001",0.22,"366,939","53,631","60,367","18,559",0.26,0.24,0.14
0.6,"3,150",939,0.23,"370,089","50,481","61,306","17,620",0.26,0.22,0.14
0.61,"3,015",928,0.24,"373,104","47,466","62,234","16,692",0.26,0.21,0.13
0.62,"2,882",888,0.24,"375,986","44,584","63,122","15,804",0.26,0.20,0.12
0.63,"2,720",790,0.23,"378,706","41,864","63,912","15,014",0.26,0.19,0.11
0.64,"2,654",811,0.23,"381,360","39,210","64,723","14,203",0.27,0.18,0.11
0.65,"2,455",777,0.24,"383,815","36,755","65,500","13,426",0.27,0.17,0.10
0.66,"2,388",760,0.24,"386,203","34,367","66,260","12,666",0.27,0.16,0.09
0.67,"2,184",789,0.27,"388,387","32,183","67,049","11,877",0.27,0.15,0.09
0.68,"2,057",717,0.26,"390,444","30,126","67,766","11,160",0.27,0.14,0.08
0.69,"1,956",645,0.25,"392,400","28,170","68,411","10,515",0.27,0.13,0.08
0.7,"1,893",646,0.25,"394,293","26,277","69,057","9,869",0.27,0.13,0.07
0.71,"1,776",572,0.24,"396,069","24,501","69,629","9,297",0.28,0.12,0.07
0.72,"1,808",587,0.25,"397,877","22,693","70,216","8,710",0.28,0.11,0.06
0.73,"1,647",567,0.26,"399,524","21,046","70,783","8,143",0.28,0.10,0.06
0.74,"1,627",481,0.23,"401,151","19,419","71,264","7,662",0.28,0.10,0.05
0.75,"1,458",450,0.24,"402,609","17,961","71,714","7,212",0.29,0.09,0.05
0.76,"1,513",428,0.22,"404,122","16,448","72,142","6,784",0.29,0.09,0.05
0.77,"1,310",405,0.24,"405,432","15,138","72,547","6,379",0.30,0.08,0.04
0.78,"1,285",440,0.26,"406,717","13,853","72,987","5,939",0.30,0.08,0.04
0.79,"1,228",419,0.25,"407,945","12,625","73,406","5,520",0.30,0.07,0.04
0.8,"1,135",377,0.25,"409,080","11,490","73,783","5,143",0.31,0.07,0.03
0.81,"1,021",347,0.25,"410,101","10,469","74,130","4,796",0.31,0.06,0.03
0.82,920,355,0.28,"411,021","9,549","74,485","4,441",0.32,0.06,0.03
0.83,843,321,0.28,"411,864","8,706","74,806","4,120",0.32,0.05,0.03
0.84,780,353,0.31,"412,644","7,926","75,159","3,767",0.32,0.05,0.02
0.85,740,284,0.28,"413,384","7,186","75,443","3,483",0.33,0.04,0.02
0.86,620,280,0.31,"414,004","6,566","75,723","3,203",0.33,0.04,0.02
0.87,569,226,0.28,"414,573","5,997","75,949","2,977",0.33,0.04,0.02
0.88,534,242,0.31,"415,107","5,463","76,191","2,735",0.33,0.03,0.02
0.89,458,207,0.31,"415,565","5,005","76,398","2,528",0.34,0.03,0.02
0.9,487,188,0.28,"416,052","4,518","76,586","2,340",0.34,0.03,0.01
0.91,431,214,0.33,"416,483","4,087","76,800","2,126",0.34,0.03,0.01
0.92,433,191,0.31,"416,916","3,654","76,991","1,935",0.35,0.02,0.01
0.93,381,208,0.35,"417,297","3,273","77,199","1,727",0.35,0.02,0.01
0.94,327,172,0.34,"417,624","2,946","77,371","1,555",0.35,0.02,0.01
0.95,302,172,0.36,"417,926","2,644","77,543","1,383",0.34,0.02,0.01
0.96,283,139,0.33,"418,209","2,361","77,682","1,244",0.35,0.02,0.01
0.97,229,104,0.31,"418,438","2,132","77,786","1,140",0.35,0.01,0.01
0.98,215,117,0.35,"418,653","1,917","77,903","1,023",0.35,0.01,0.01
0.99,192,131,0.41,"418,845","1,725","78,034",892,0.34,0.01,0.01
1.0,"1,725",892,0.34,"420,570",0,"78,926",0,nan,0.00,0.00
