p,Filename,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}
0.75,LRC_Hard_Tomek_0_alpha_0_5_v1_Train,69,141,0.6714285714285714,420161,409,77867,1059,0.7213896457765667,0.013417631705648329,0.0029389624741739673
0.83,LRC_Hard_Tomek_0_alpha_0_5_v1_Train_Transformed_100,60,120,0.6666666666666666,420265,305,78080,846,0.73501303214596,0.01071890124927147,0.002304322757339398
0.96,LRC_Hard_Tomek_0_alpha_0_5_v1_Train_Transformed_98,54,109,0.6687116564417178,420096,474,77741,1185,0.7142857142857143,0.015014063806603655,0.0033213479187020516
0.97,LRC_Hard_Tomek_0_alpha_0_5_v1_Train_Transformed_95,76,152,0.6666666666666666,419369,1201,76562,2364,0.6631136044880785,0.02995210703697134,0.007137194291846181
0.74,LRC_Hard_Tomek_0_alpha_0_5_v1_Test,29,60,0.6741573033707865,180030,215,33302,523,0.7086720867208672,0.015461936437546194,0.003447470453589947
0.82,LRC_Hard_Tomek_0_alpha_0_5_v1_Test_Transformed_100,23,46,0.6666666666666666,180049,196,33342,483,0.711340206185567,0.014279379157427939,0.0031718596720698836
0.96,LRC_Hard_Tomek_0_alpha_0_5_v1_Test_Transformed_98,21,42,0.6666666666666666,180039,206,33316,509,0.7118881118881119,0.015048041389504805,0.0033400289624889055
1.0,LRC_Hard_Tomek_0_alpha_0_5_v1_Test_Transformed_95,450,901,0.6669133974833457,180245,0,33825,0,,0.0,0.0
0.96,LRC_Hard_Tomek_0_alpha_balanced_v1_Train,196,426,0.684887459807074,420405,165,78462,464,0.7376788553259142,0.005878924562248182,0.0012592693434982463
0.97,LRC_Hard_Tomek_0_alpha_balanced_v1_Train_Transformed_100,212,420,0.6645569620253164,420378,192,78397,529,0.7337031900138696,0.0067024808048045,0.0014434550026426638
1.0,LRC_Hard_Tomek_0_alpha_balanced_v1_Train_Transformed_98,520,1167,0.6917605216360403,420570,0,78926,0,,0.0,0.0
1.0,LRC_Hard_Tomek_0_alpha_balanced_v1_Train_Transformed_95,1375,2473,0.6426715176715176,420570,0,78926,0,,0.0,0.0
0.97,LRC_Hard_Tomek_0_alpha_balanced_v1_Test,60,125,0.6756756756756757,180223,22,33751,74,0.7708333333333334,0.002187730968218773,0.0004484514411173915
0.99,LRC_Hard_Tomek_0_alpha_balanced_v1_Test_Transformed_100,46,94,0.6714285714285714,180239,6,33794,31,0.8378378378378378,0.0009164818920916482,0.000172840659597328
1.0,LRC_Hard_Tomek_0_alpha_balanced_v1_Test_Transformed_98,244,523,0.681877444589309,180245,0,33825,0,,0.0,0.0
1.0,LRC_Hard_Tomek_0_alpha_balanced_v1_Test_Transformed_95,615,1049,0.6304086538461539,180245,0,33825,0,,0.0,0.0
