Name,TN,FP,FN,TP,center,AUC,Run,Precision = TP/PP,Recall = TP/P,F1
Ideal_Left_Linear_Transform,44481,12156,2306,7694,0.5,0.83746564,1,0.387607053,0.7694,0.515510888
Ideal_Left_Linear_Transform,44481,12156,2306,7694,0.5,0.83746564,2,0.387607053,0.7694,0.515510888
Ideal_Left_Linear_Transform,44481,12156,2306,7694,0.5,0.83746564,3,0.387607053,0.7694,0.515510888
Ideal_Right_Linear_Transform,44481,12156,2306,7694,0.5,0.83746564,1,0.387607053,0.7694,0.515510888
Ideal_Right_Linear_Transform,44481,12156,2306,7694,0.5,0.83746564,2,0.387607053,0.7694,0.515510888
Ideal_Right_Linear_Transform,44481,12156,2306,7694,0.5,0.83746564,3,0.387607053,0.7694,0.515510888
BRFC_Hard_Tomek_0_r_target_Linear_Transform,141255,9516,16628,9993,0.695,0.798157176,1,0.512225127,0.375380339,0.433253848
BRFC_Hard_Tomek_1_Linear_Transform,141125,9646,16665,9956,0.7045,0.798605812,1,0.507907356,0.373990459,0.430781213
BRFC_Hard_Tomek_2_Linear_Transform,140943,9828,16618,10003,0.7045,0.797514314,2,0.504412284,0.375755982,0.430681133
BRFC_Hard_Tomek_2_Linear_Transform,140943,9828,16618,10003,0.7045,0.797514314,3,0.504412284,0.375755982,0.430681133
BRFC_Hard_Tomek_2_Linear_Transform,140984,9787,16647,9974,0.7045,0.797983067,1,0.504731542,0.374666617,0.430080635
BRFC_Hard_Tomek_1_Linear_Transform,141145,9626,16705,9916,0.7045,0.798623601,2,0.507419916,0.372487886,0.429608128
BRFC_Hard_Tomek_1_Linear_Transform,141145,9626,16705,9916,0.7045,0.798623601,3,0.507419916,0.372487886,0.429608128
BRFC_Hard_Tomek_0_r_target_Linear_Transform,141062,9709,16696,9925,0.692666667,0.79692954,2,0.505500662,0.372825964,0.429142795
BRFC_Hard_Tomek_0_r_target_Linear_Transform,141062,9709,16696,9925,0.692666667,0.79692954,3,0.505500662,0.372825964,0.429142795
